编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
HJT-13,/,Rhodalidin,94696-37-4,596.491,C26H28O16,,黄酮,O=C1C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=C(C3=CC=C(O)C=C3)OC4=C1C(O)=CC(O)=C4O[C@H]5[C@H](O)[C@@H](O)[C@H](O)CO5,"InChI=1S/C26H28O16/c27-6-13-16(33)18(35)20(37)26(39-13)42-24-17(34)14-10(29)5-11(30)22(41-25-19(36)15(32)12(31)7-38-25)23(14)40-21(24)8-1-3-9(28)4-2-8/h1-5,12-13,15-16,18-20,25-33,35-37H,6-7H2/t12-,13-,15+,16-,18+,19-,20-,25+,26+/m1/s1",KAMNGBDKYCAJCF-BPCHNOSOSA-N,红景天
HJT-14,大花红天素,Crenulatin,63026-02-8,248.273,C11H20O6,,苯丙素类,O[C@H]1[C@H](OC(C)(C)C=C)O[C@H](CO)[C@@H](O)[C@@H]1O,"InChI=1S/C11H20O6/c1-4-11(2,3)17-10-9(15)8(14)7(13)6(5-12)16-10/h4,6-10,12-15H,1,5H2,2-3H3/t6-,7-,8+,9-,10+/m1/s1",ZEGGZNOPAPRAIG-SPFKKGSWSA-N,红景天
HJT-15,红景天灵,Rhodiolinin,86831-53-0,480.42,C25H20O10,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC4=C3O[C@H](CO)[C@@H](C5=CC=C(O)C(OC)=C5)O4,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC4=C3O[C@H](CO)[C@@H](C5=CC=C(O)C(OC)=C5)O4,POVCYOFRCMBMKD-XMSQKQJNSA-N,红景天
HJT-16,山奈酚,Kaempferol,520-18-3,286.236,C15H10O6,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,红景天
HJT-17,/,Crenuloside,/,594.526,C27H30O15,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O[C@@H]4OC(C)[C@H](O)[C@H](O[C@@H]5OC(CO)[C@@H](O)[C@H](O)C5O)C4O)=C3,"InChI=1S/C27H30O15/c1-9-17(31)25(42-26-22(36)20(34)18(32)15(8-28)41-26)23(37)27(38-9)39-12-6-13(30)16-14(7-12)40-24(21(35)19(16)33)10-2-4-11(29)5-3-10/h2-7,9,15,17-18,20,22-23,25-32,34-37H,8H2,1H3/t9?,15?,17-,18+,20-,22?,23?,25-,26-,27-/m0/s1",GNUBKCNADKGDBF-SOWAGGDSSA-N,红景天
HJT-18,/,Kaempferol-3-O-α-L-rhamnoside,/,432.384,C21H20O10,,黄酮,O=C1C(O[C@H]2[C@@H]([C@@H]([C@H]([C@H](C)O2)O)O)O)=C(C3=CC=C(O)C=C3)OC4=C1C(O)=CC(O)=C4,"InChI=1S/C21H20O10/c1-8-15(25)17(27)18(28)21(29-8)31-20-16(26)14-12(24)6-11(23)7-13(14)30-19(20)9-2-4-10(22)5-3-9/h2-8,15,17-18,21-25,27-28H,1H3/t8-,15-,17+,18+,21-/m0/s1",SOSLMHZOJATCCP-AEIZVZFYSA-N,红景天
HJT-19,/,Kaempferol-7-O-α-L-rhamnoside,/,432.38,C21H20O10,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O[C@H]4[C@@H]([C@@H]([C@H]([C@H](C)O4)O)O)O)=C3.C,"InChI=1S/C21H20O10.CH4/c1-8-15(24)17(26)19(28)21(29-8)30-11-6-12(23)14-13(7-11)31-20(18(27)16(14)25)9-2-4-10(22)5-3-9;/h2-8,15,17,19,21-24,26-28H,1H3;1H4/t8-,15-,17+,19+,21-;/m0./s1",PYRHSJAAEWNBSJ-MDXLRDNCSA-N,红景天
HJT-20,堪非醇3-O-桑布双糖苷,Leucoside,27661-51-4,580.492,C26H28O15,,黄酮,O[C@@H]([C@@H]([C@@H](CO)O1)O)[C@@H](O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)[C@@H]1OC3=C(C4=CC=C(O)C=C4)OC5=C(C(O)=CC(O)=C5)C3=O.C,"InChI=1S/C26H28O15.CH4/c27-7-15-18(33)20(35)24(41-25-21(36)17(32)13(31)8-37-25)26(39-15)40-23-19(34)16-12(30)5-11(29)6-14(16)38-22(23)9-1-3-10(28)4-2-9;/h1-6,13,15,17-18,20-21,24-33,35-36H,7-8H2;1H4/t13-,15-,17+,18-,20+,21-,24-,25+,26+;/m1./s1",YEENDLMMXPFDQO-YISAPWMUSA-N,红景天
HJT-21,山奈酚3-O-半乳糖苷,Trifolin,23627-87-4,448.377,C21H20O11,,黄酮,O[C@H]([C@H]([C@H]([C@@H](CO)O1)O)O)[C@@H]1OC2=C(C3=CC=C(O)C=C3)OC4=C(C(O)=CC(O)=C4)C2=O.C,"InChI=1S/C21H20O11.CH4/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8;/h1-6,13,15,17-18,21-26,28-29H,7H2;1H4/t13-,15+,17+,18-,21+;/m1./s1",WHKQEINQQLAJBG-SKDQBFJJSA-N,红景天
HJT-22,苜蓿素,Tricin,520-32-1,330.289,C17H14O7,,黄酮,O=C1C=C(C2=CC(OC)=C(O)C(OC)=C2)OC3=C1C(O)=CC(O)=C3.C,"InChI=1S/C17H14O7.CH4/c1-22-14-3-8(4-15(23-2)17(14)21)12-7-11(20)16-10(19)5-9(18)6-13(16)24-12;/h3-7,18-19,21H,1-2H3;1H4",OBGRBVQCFWRJEK-UHFFFAOYSA-N,红景天
