编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,化合物分类,SMILES,InChI,InChIKey,药材种类
YJ-115,/,Zedoalactone B,/,264.1362,C15H20O4,,,萜类,O=C1C(C)=C2C[C@]3([H])[C@@](C)(O)CC[C@]3([H])[C@@](O)(C)C=C2O1,"InChI=1S/C15H20O4/c1-8-9-6-11-10(4-5-14(11,2)17)15(3,18)7-12(9)19-13(8)16/h7,10-11,17-18H,4-6H2,1-3H3/t10-,11-,14-,15+/m0/s1",SPLDFKJIFZMZQH-LWWSYDQCSA-N,郁金
YJ-116,/,Zedoalactone C,864430-46-6,266.1518,C15H22O4,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(O)C(C)C)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",BQDXDGDOYPUUOD-YLXLXVFQSA-N,郁金
YJ-117,/,Zedoalactone D,/,280.1311,C15H20O5,,,萜类,O[C@@]12[C@@](CC(C3=C[C@@]2(O)C)=C(C)C(O3)=O)([H])[C@](O)(C)CC1,"InChI=1S/C15H20O5/c1-8-9-6-11-13(2,17)4-5-15(11,19)14(3,18)7-10(9)20-12(8)16/h7,11,17-19H,4-6H2,1-3H3/t11-,13+,14+,15-/m1/s1",HPNXJLIPUVXDNH-UQOMUDLDSA-N,郁金
YJ-118,/,Zedoalactone E,1228391-67-0,266.1518,C15H22O4,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(O)C(C)C)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",BQDXDGDOYPUUOD-JQPXUNLUSA-N,郁金
YJ-119,/,Zedoalactone F,/,245.1256,C15H18O3,,,萜类,[H][C@@]1(C2)[C@](O)(C)CCC1=C(C)C=C3C2=C(C)C(O3)=O,,QBWNNPGUGLIWHU-WFASDCNBSA-N,郁金
YJ-120,莪术双环烯酮,Curcumenone,100347-96-4,234.162,C15H22O2,,,萜类,CC(=C1CC2C(C2(CC1=O)C)CCC(=O)C)C,"InChI=1S/C15H22O2/c1-9(2)11-7-13-12(6-5-10(3)16)15(4,17-13)8-14(11)17/h12-13H,5-8H2,1-4H3/t12-,13-,15+/m1/s1",HUZJLWLCLJEXEL-NFAWXSAZSA-N,郁金
YJ-121,/,4s-Dihydrocurcumenone,/,266.1518,C15H22O4,,,萜类,C[C@]1([C@@H]2CC[C@@H](O)C)[C@]2([H])C/C(C(C1)=O)=C(C)/C,"InChI=1S/C15H24O2/c1-9(2)11-7-13-12(6-5-10(3)16)15(13,4)8-14(11)17/h10,12-13,16H,5-8H2,1-4H3/t10-,12+,13+,15-/m0/s1",OQZCUYXRSFWCJU-ZGFBFQLVSA-N,郁金
YJ-122,/,Curcarabranol A,/,252.1725,C15H24O3,,,萜类,C[C@]1([C@@H]2CCC(C)=O)[C@]2([H])C[C@H](C(C)(O)C)C(C1)=O,"InChI=1S/C15H24O3/c1-9(16)5-6-10-11-7-12(14(2,3)18)13(17)8-15(10,11)4/h10-12,18H,5-8H2,1-4H3/t10-,11-,12+,15+/m1/s1",FARHRLFSUJIINR-FJJYHAOUSA-N,郁金
YJ-123,/,Curcarabranol B,/,254.1882,C15H26O3,,,萜类,C[C@]1([C@@H]2CC[C@@H](O)C)[C@]2([H])C[C@@H](C(C)(O)C)C(C1)=O,"InChI=1S/C15H26O3/c1-9(16)5-6-10-11-7-12(14(2,3)18)13(17)8-15(10,11)4/h9-12,16,18H,5-8H2,1-4H3/t9-,10+,11+,12+,15-/m0/s1",QRWULYRBRXTDKJ-SJXJDRKQSA-N,郁金
YJ-124,/,Curcumenolactone A,/,248.1412,C15H20O3,,,萜类,C[C@]1([C@@H]2CCC(C)=O)[C@]2([H])CC([C@]3([H])C1)=C(C)C(O3)=O,"InChI=1S/C15H20O3/c1-8(16)4-5-11-12-6-10-9(2)14(17)18-13(10)7-15(11,12)3/h11-13H,4-7H2,1-3H3/t11-,12-,13+,15+/m1/s1",LWEBVMKVDYHHRS-CXTNEJHOSA-N,郁金
