编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
39,α-石竹烯,α-caryophyllene,6753-98-6,204.1878,C15H24,,萜类,CC1(C)C/C([H])=C(C)/CC/C([H])=C(C)\C/C([H])=C1\[H],"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3/b11-6+,13-7+,14-10+",FAMPSKZZVDUYOS-HRGUGZIWSA-N,泽兰
40,α-蒎烯,α-pinene,80-56-8,136.1252,C10H16,,萜类,CC1=CC[C@H]2C(C)(C)[C@@H]1C2,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m1/s1",GRWFGVWFFZKLTI-RKDXNWHRSA-N,泽兰
41,石竹烯,trans-Caryophyllene,87-44-5,204.1878,C15H24,,萜类,CC1(C)[C@@](CC/C(C)=C([H])/CCC2=C)([H])[C@]2([H])C1,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+/t13-,14-/m1/s1",NPNUFJAVOOONJE-GFUGXAQUSA-N,泽兰
42,β-芹子烯,β-Selinene,17066-67-0,204.1878,C15H24,,萜类,C[C@]1(CCCC2=C)[C@@]2([H])C[C@H](C(C)=C)CC1,"InChI=1S/C15H24/c1-11(2)13-7-9-15(4)8-5-6-12(3)14(15)10-13/h13-14H,1,3,5-10H2,2,4H3/t13-,14+,15-/m1/s1",YOVSPTNQHMDJAG-QLFBSQMISA-N,泽兰
43,乌索酸/熊果酸,Ursolic Acid,77-52-1,456.3603,C30H48O3,,三萜,O[C@@H]1C(C)(C)[C@@]2([H])[C@@](CC1)(C)[C@]3([H])[C@](CC2)(C)[C@@]4(C)C([C@@]([C@@H](C)[C@H](C)CC5)([H])[C@@]5(C(O)=O)CC4)=CC3,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",WCGUUGGRBIKTOS-GPOJBZKASA-N,泽兰
44,"(3S,5R,10S)-7-氧代-8，11，13-三烯-3，11，12，14-四醇-12-O-β-D-吡喃葡萄糖基-（1→2）-β-D-吡喃葡萄糖苷","(3S,5R,10S)-7-oxo-8，11，13-triene-3，11，12，14-tetraol-12-oxo-β-D-glucopyranosyl-（1→2）-β-D-glucopyranoside",/,672.2993,C32H48O15,,三萜,CC(C)C1=C(O[C@]2([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@]3([H])O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(O)=C([C@](CC[C@@](O)([H])C4(C)C)(C)C4C([H])([H])C5=O)C5=C1O,"InChI=1S/C32H48O15/c1-11(2)17-22(39)18-12(35)8-15-31(3,4)16(36)6-7-32(15,5)19(18)23(40)27(17)46-30-28(25(42)21(38)14(10-34)45-30)47-29-26(43)24(41)20(37)13(9-33)44-29/h11,13-16,20-21,24-26,28-30,33-34,36-43H,6-10H2,1-5H3/t13-,14-,15?,16+,20-,21-,24+,25+,26-,28-,29+,30+,32+/m1/s1",NFKJWYURZJIUFK-HXJXWVSHSA-N,泽兰
45,齐墩果酸,Oleanic acid,508-02-1,456.3603,C30H48O3,,三萜,O[C@@H]1C(C)(C)[C@@]2([H])[C@@](CC1)(C)[C@]3([H])[C@](CC2)(C)[C@@]4(C)C([C@@](CC(C)(C)CC5)([H])[C@@]5(C(O)=O)CC4)=CC3,"InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",MIJYXULNPSFWEK-GTOFXWBISA-N,泽兰
46,2α，3β，19α-三羟基-熊果烷-12-烯-28-O-β-D葡萄糖苷,2α，3β，19α-trihydroxy-urs-12-en-28-oxo-β-D-glucopyranoside,/,636.3873,C35H56O10,,三萜,O[C@H]1[C@H](C)CC[C@]2(C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=O)CC[C@@]4(C)[C@]5(C)CCC6C(C)(C)[C@@H](O)[C@H](O)C[C@]6(C)C5CC=C4C21,"InChI=1S/C35H56O10/c1-17-9-12-35(30(43)45-29-27(41)26(40)25(39)20(16-36)44-29)14-13-33(5)18(23(35)24(17)38)7-8-22-32(4)15-19(37)28(42)31(2,3)21(32)10-11-34(22,33)6/h7,17,19-29,36-42H,8-16H2,1-6H3/t17-,19-,20-,21?,22?,23?,24+,25-,26+,27-,28+,29+,32+,33-,34-,35+/m1/s1",XGXFLHBPAGECET-GBULCCAYSA-N,泽兰
47,香茶菜素,rabdosiin,119152-54-4,718.1534,C36H30O16,,萜类,O=C([C@H](C(C(O[C@@H](C(O)=O)CC(C=C1)=CC(O)=C1O)=O)=CC2=C3)[C@H](C(C=C4)=CC(O)=C4O)C2=CC(O)=C3O)O[C@@H](C(O)=O)CC(C=C5)=CC(O)=C5O,"InChI=1S/C36H30O16/c37-21-4-1-15(7-24(21)40)9-29(33(45)46)51-35(49)20-11-18-13-27(43)28(44)14-19(18)31(17-3-6-23(39)26(42)12-17)32(20)36(50)52-30(34(47)48)10-16-2-5-22(38)25(41)8-16/h1-8,11-14,29-32,37-44H,9-10H2,(H,45,46)(H,47,48)/t29-,30-,31-,32-/m1/s1",VKWZFIDWHLCPHJ-SEVDZJIVSA-N,泽兰
48,植醇,Phytol,150-86-7,296.3079,C20H40O,,挥发油,OC/C([H])=C(C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C,"InChI=1S/C20H40O/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-14-20(5)15-16-21/h15,17-19,21H,6-14,16H2,1-5H3/b20-15+/t18-,19-/m1/s1",BOTWFXYSPFMFNR-PYDDKJGSSA-N,泽兰
