编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物类别,smiles,inchi,inchikey,药材名称
JX-158,"3,8-壬二烯-2-酮 ","3,8-nonadien-2-one",55282-90-1,138.207,C9H14O ,,其他,O=C(C)/C=C/CCCC=C,"InChI=1S/C9H14O/c1-3-4-5-6-7-8-9(2)10/h3,7-8H,1,4-6H2,2H3/b8-7+",YKLUYYMKAUDXNV-BQYQJAHWSA-N,降香
JX-159,棕榈酸乙酯 ,ethyl hexadecanoate,628-97-7,284.5,C18H36O2 ,,其他,O=C(CCCCCCCCCCCCCCC)OCC,"InChI=1S/C18H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h3-17H2,1-2H3",XIRNKXNNONJFQO-UHFFFAOYSA-N,降香
JX-160,己酸-2-丙烯酯  ,2-propenyl hexanoate,123-68-2,156.22,C9H16O2 ,,其他,O=C(CCCCC)OCC=C,"InChI=1S/C9H16O2/c1-3-5-6-7-9(10)11-8-4-2/h4H,2-3,5-8H2,1H3",RCSBILYQLVXLJG-UHFFFAOYSA-N,降香
JX-161,南烛木树脂酚 ,lyoniresinol,14464-90-5,420.5,C22H28O8 ,,其他,OC[C@@]([C@](C(C=C1OC)=CC(OC)=C1O)([H])C2=C3OC)([H])[C@@](CO)([H])CC2=CC(OC)=C3O,"InChI=1S/C22H28O8/c1-27-15-7-12(8-16(28-2)20(15)25)18-14(10-24)13(9-23)5-11-6-17(29-3)21(26)22(30-4)19(11)18/h6-8,13-14,18,23-26H,5,9-10H2,1-4H3/t13-,14-,18+/m0/s1",ZDVZKBOFCHOPLM-SUNYJGFJSA-N,降香
JX-162,2-甲氧基-3-羟基呫吨酮 ,2-methoxy-3-hydroxyxanthone,33018-28-9,242.227,C14H10O4 ,,蒽醌,,,,降香
JX-163,"(R)-2-(2,2-二乙氧基乙基)-1,3-丙二醇单醋酸盐  ","[(2R)-4,4-diethoxy-2-(hydroxymethyl)butyl] acetate",144461-19-8,234.289,C11H22O5 ,,其他,OC[C@H](COC(C)=O)CC(OCC)OCC,"InChI=1S/C11H22O5/c1-4-14-11(15-5-2)6-10(7-12)8-16-9(3)13/h10-12H,4-8H2,1-3H3/t10-/m1/s1",UFSFOZXONNJSBH-SNVBAGLBSA-N,降香
JX-164,丁香树脂酚 ,syringaresinol,6216-81-5,418.4,C22H26O8,,木质素,OC1=C(C=C(C=C1OC)C2OCC3C2COC3C(C=C4OC)=CC(OC)=C4O)OC,"InChI=1S/C22H26O8/c1-25-15-5-11(6-16(26-2)19(15)23)21-13-9-30-22(14(13)10-29-21)12-7-17(27-3)20(24)18(8-12)28-4/h5-8,13-14,21-24H,9-10H2,1-4H3",KOWMJRJXZMEZLD-UHFFFAOYSA-N,降香
JX-165,杜松烯 ,cadinene,29350-73-0,206.37,C15H26 ,,其他,C[C@]1([H])[C@@]2([H])[C@](C[C@@H](C)C=C2)([H])[C@H](C(C)C)CC1,"InChI=1S/C15H26/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h5,7,10-15H,6,8-9H2,1-4H3/t11-,12-,13-,14-,15-/m0/s1",HNTISMRTGMVWGH-YTFOTSKYSA-N,降香
JX-166,柠檬烯环氧化物, limonene epoxide,114421-39-5,152.23,C10H16O ,,其他,CC12OC1CC(C(C)=C)CC2,"InChI=1S/C10H16O/c1-7(2)8-4-5-10(3)9(6-8)11-10/h8-9H,1,4-6H2,2-3H3",CCEFMUBVSUDRLG-UHFFFAOYSA-N,降香
JX-167,反式柠檬烯氧化物 ,trans-limonene oxide,1195-92-2,152.23,C10H16O ,,其他,,,,降香
JX-168,丁香油酚 ,eugenol,97-53-0,164.2,C10H12O2 ,,苯丙素,OC1=C(C=C(C=C1)CC=C)OC,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,降香
JX-169,正丁(基)苯 ,n-butylbenzene,104-51-8,134.22,C10H14 ,,其他,CCCCC1=CC=CC=C1,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",OCKPCBLVNKHBMX-UHFFFAOYSA-N,降香
JX-170,蒎烯,pinene,/,136.234,C10H16 ,,挥发油,,,,降香
JX-171,红樟油 ,terpinolene,/,136.234,C10H16 ,,挥发油,CC1=CC/C(CC1)=C(C)\C,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3",MOYAFQVGZZPNRA-UHFFFAOYSA-N,降香
JX-172,α-蒎烯 ,α-pinene,80-56-8,136.234,C10H16 ,,挥发油,CC1(C)[C@@H]2C[C@H]1C(C)=CC2,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m0/s1",GRWFGVWFFZKLTI-IUCAKERBSA-N,降香
JX-173,桉树脑 ,eucalyptol,470-82-6,154.249,C10H18O,,挥发油,C[C@]12OC(C)(C)C(CC2)CC1,"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3/t8?,10-",WEEGYLXZBRQIMU-GDGYMVOYSA-N,降香
JX-174,"4-(2,2-二甲基-6-亚甲基环己基)丁醛","4-(2,2-dimethyl-6-methylenecyclohexyl)butanal",/,194.31,C13H22O ,,其他,O=CCCCC1C(C)(C)CCCC1=C,"InChI=1S/C13H22O/c1-11-7-6-9-13(2,3)12(11)8-4-5-10-14/h10,12H,1,4-9H2,2-3H3",LEXVMOJLXLEPJE-UHFFFAOYSA-N,降香
JX-175,香叶基丙酮 ,geranylacetone,3796-70-1,194.313,C13H22O ,,其他,O=C(C)CC/C=C(C)/CC/C=C(C)/C,"InChI=1S/C13H22O/c1-11(2)7-5-8-12(3)9-6-10-13(4)14/h7,9H,5-6,8,10H2,1-4H3/b12-9+",HNZUNIKWNYHEJJ-FMIVXFBMSA-N,降香
JX-176,香叶基丙醇 ,geranyl propanol,/,196.334,C13H24O ,,其他,,,,降香
JX-177,降莰烷 ,norsantane,279-23-2,96.17,C7H12 ,,其他,[H][C@]12C([H])([H])C(C([H])([H])C2([H])[H])([H])C([H])([H])C1([H])[H],"InChI=1S/C7H12/c1-2-7-4-3-6(1)5-7/h6-7H,1-5H2/t6-,7?",UMRZSTCPUPJPOJ-MWMPHFAGSA-N,降香
JX-178,β-没药烯 ,β-bisabolene,495-61-4,204.36,C15H24 ,,其他,,,,降香
JX-179,桉油烯醇 ,spathulenol,6750-60-3,220.35,C15H24O ,,其他,O[C@]1(C)[C@@]([C@@]2([H])CC1)([H])[C@]3([H])C(C)(C)[C@]3([H])CCC2=C,"InChI=1S/C15H24O/c1-9-5-6-11-13(14(11,2)3)12-10(9)7-8-15(12,4)16/h10-13,16H,1,5-8H2,2-4H3/t10-,11+,12+,13+,15-/m0/s1",FRMCCTDTYSRUBE-BGPZULBFSA-N,降香
