编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物类别,smiles,inchi,inchikey,药材名称
JX-227,"7,3?,4?-三羟基异黄酮"," 7,3?,4?-trihydroxyflavone",/,270.24,C15H10O5 ,,黄酮,O=C1C(C=CC(O)=C2)=C2OC(C(C=C3)=CC(O)=C3O)=C1,"InChI=1S/C15H10O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-7,16-17,19H",PVFGJHYLIHMCQD-UHFFFAOYSA-N,降香
JX-228,"7-甲氧基-3,3?,4?,6-四羟基黄酮 ","3,3?,4?,6-tetrahydroxy-7-methoxyflavone",/,316.26,C16H12O7 ,,黄酮,,,,降香
JX-229,高圣草酚 ,homoeriodictyol,446-71-9,302.279,C16H14O6 ,,黄酮,O=C1C[C@](C(C=C2)=CC(OC)=C2O)([H])OC3=CC(O)=CC(O)=C13,"InChI=1S/C16H14O6/c1-21-14-4-8(2-3-10(14)18)13-7-12(20)16-11(19)5-9(17)6-15(16)22-13/h2-6,13,17-19H,7H2,1H3/t13-/m0/s1",FTODBIPDTXRIGS-ZDUSSCGKSA-N,降香
JX-230,"7,8-二羟基黄烷酮 ","7,8-dihydroxyflavanone",51876-18-7,256.253,C15H12O4 ,,黄酮,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC(O)=C3O,"InChI=1S/C15H12O4/c16-11-7-6-10-12(17)8-13(19-15(10)14(11)18)9-4-2-1-3-5-9/h1-7,13,16,18H,8H2",OXEDXEXEXGPMOG-UHFFFAOYSA-N,降香
JX-231,"3,6,7,4?-四羟基黄烷酮 ","3,6,7,4?-tetrahydroxyflavanone",/,288.25,C15H12O6 ,,黄酮,,,,降香
JX-232,豌豆查耳酮B ,xenognosin B,1890-99-9,284.263,C16H12O5 ,,黄酮,O=C1C(C(C=CC(OC)=C2)=C2O)=C([H])OC3=C1C=CC(O)=C3,"InChI=1S/C16H12O5/c1-20-10-3-5-11(14(18)7-10)13-8-21-15-6-9(17)2-4-12(15)16(13)19/h2-8,17-18H,1H3",XKHHKXCBFHUOHM-UHFFFAOYSA-N,降香
JX-233,"7-羟基-4?,5?-二甲氧基异黄酮 ","7-hydroxy-4?,5?-dimethoxyisoflavone",/,298.29,C17H14O5 ,,黄酮,O=C1C(C(C=C2)=CC(OC)=C2OC)=COC3=C1C=CC(O)=C3,"InChI=1S/C17H14O5/c1-20-14-6-3-10(7-16(14)21-2)13-9-22-15-8-11(18)4-5-12(15)17(13)19/h3-9,18H,1-2H3",VFZIJLPRJAQGFO-UHFFFAOYSA-N,降香
JX-234,堇菜酮 ,violanone,52250-38-1,316.3,C17H16O6 ,,黄酮,O=C1C(C(C=CC(OC)=C2O)=C2OC)COC3=C1C=CC(O)=C3,"InChI=1S/C17H16O6/c1-21-13-6-5-10(17(22-2)16(13)20)12-8-23-14-7-9(18)3-4-11(14)15(12)19/h3-7,12,18,20H,8H2,1-2H3",ILOKNKKFXJKHMB-UHFFFAOYSA-N,降香
JX-235,"2?,7-二羟基-4?-甲氧基异黄烷酮 ",vestitone,66211-83-4,286.279,C16H14O5 ,,黄酮,O=C1[C@@](C(C=CC(OC)=C2)=C2O)(C)COC3=C1C=CC(O)=C3,"InChI=1S/C17H16O5/c1-17(13-6-4-11(21-2)8-14(13)19)9-22-15-7-10(18)3-5-12(15)16(17)20/h3-8,18-19H,9H2,1-2H3/t17-/m0/s1",QVSONZYGUDGPJA-KRWDZBQOSA-N,降香
JX-236,"2?,3,7-三羟基-4?-甲氧基异黄烷酮 ",3-hydroxyvestitone,/,302.28,C16H14O6 ,,黄酮,,,,降香
JX-237,"2?-羟基芒柄花素/2?,7-二羟基-4?-甲氧基黄酮 ",2?-hydroxyformononetin,/,284.26,C16H12O5 ,,黄酮,O=C1C(C(C=CC(OC)=C2)=C2O)=COC3=C1C=CC(O)=C3,"InChI=1S/C16H12O5/c1-20-10-3-5-11(14(18)7-10)13-8-21-15-6-9(17)2-4-12(15)16(13)19/h2-8,17-18H,1H3",XKHHKXCBFHUOHM-UHFFFAOYSA-N,降香
JX-238,豆素 ,duartin,52305-04-1,332.348,C18H20O6 ,,黄酮,OC(C(OC)=C(C=C1)[C@@]2([H])CC(C=CC(O)=C3OC)=C3OC2)=C1OC,"InChI=1S/C18H20O6/c1-21-14-7-5-12(17(22-2)15(14)20)11-8-10-4-6-13(19)18(23-3)16(10)24-9-11/h4-7,11,19-20H,8-9H2,1-3H3/t11-/m0/s1",QVVPJFBYFYYVDM-NSHDSACASA-N,降香
JX-239,5?-甲氧基驴食草酚 ,5?-methoxyvestitol,/,302.32,C17H18O5 ,,黄酮,OC1=C(C=CC(OC)=C1)C2CC(C(OC)=CC(O)=C3)=C3OC2,"InChI=1S/C17H18O5/c1-20-12-3-4-13(15(19)8-12)10-5-14-16(21-2)6-11(18)7-17(14)22-9-10/h3-4,6-8,10,18-19H,5,9H2,1-2H3",IIGJRKXUKWYUHK-UHFFFAOYSA-N,降香
JX-240,2?-甲氧基异甘草素 ,2?-methoxyisoliquiritigenin,/,270.28,C16H14O4 ,,苯丙素,OC1=CC(OC)=C(C(/C=C/C(C=C2)=CC=C2O)=O)C=C1,"InChI=1S/C16H14O4/c1-20-16-10-13(18)7-8-14(16)15(19)9-4-11-2-5-12(17)6-3-11/h2-10,17-18H,1H3/b9-4+",PACBGANPVNHGNP-RUDMXATFSA-N,降香
JX-241,"2?,4?-二羟基查耳酮 ","2?,4?-dihydroxychalcone",3600-61-1,240.254,C15H12O3 ,,苯丙素,OC(C=C1C(C(C=C2)=CC=C2O)=CC(OC1=C3)=O)=C3OC,"InChI=1S/C16H12O5/c1-20-15-8-14-12(6-13(15)18)11(7-16(19)21-14)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",HUGUGFBIYQBLCS-UHFFFAOYSA-N,降香
JX-242,黄檀酚 ,dalbergiphenol,52811-31-1,270.32,C17H18O3 ,,苯丙素,OC(C=C(C(OC)=C1)[C@](C=C)([H])C2=CC=CC=C2)=C1OC,"InChI=1S/C17H18O3/c1-4-13(12-8-6-5-7-9-12)14-10-15(18)17(20-3)11-16(14)19-2/h4-11,13,18H,1H2,2-3H3/t13-/m0/s1",SLLCQEPKLKMZKP-ZDUSSCGKSA-N,降香
JX-243,异黄檀素 ,isodalbergin,/,268.26,C16H12O4 ,,香豆素,OC(C=C1C(C2=CC=CC=C2)=CC(OC1=C3)=O)=C3O,"InChI=1S/C15H10O4/c16-12-6-11-10(9-4-2-1-3-5-9)7-15(18)19-14(11)8-13(12)17/h1-8,16-17H",TZRNJQYCOSMOJS-UHFFFAOYSA-N,降香
JX-244,3-羟基甜菜红素 ,3-hydroxymelanettin,/,300.26,C16H14O3 ,,其他,OC1=C(C=C2C(C(C=C3)=CC(O)=C3O)=CC(OC2=C1[H])=O)O,"InChI=1S/C15H10O6/c16-10-2-1-7(3-11(10)17)8-5-15(20)21-14-6-13(19)12(18)4-9(8)14/h1-6,16-19H",QODXDHVBENRGHE-UHFFFAOYSA-N,降香
JX-245,4-甲氧基黄檀醌 ,4-methoxydalbergione,/,254.28,C16H14O3 ,,苯丙素,OC1=CC(C(C(C=C)C2=CC=CC=C2)=CC1=O)=O,"InChI=1S/C15H12O3/c1-2-11(10-6-4-3-5-7-10)12-8-14(17)15(18)9-13(12)16/h2-9,11,18H,1H2",DRNJKHHFDFPTOT-UHFFFAOYSA-N,降香
JX-246,紫苜蓿素 ,purpurin,/,256.21,C17H16O5 ,,蒽醌,OC(C1=C(C(O)=C2)C(C3=CC=CC=C3C1=O)=O)=C2O,"InChI=1S/C14H8O5/c15-8-5-9(16)14(19)11-10(8)12(17)6-3-1-2-4-7(6)13(11)18/h1-5,15-16,19H",BBNQQADTFFCFGB-UHFFFAOYSA-N,降香
JX-247,"3-羟基-9,10-二甲氧基紫檀烷 ",methylnissolin,73340-41-7,300.306,C17H16O5 ,,黄酮,OC1=CC2=C(C=C1)C3OC4=C(C=CC(OC)=C4OC)C3CO2,"InChI=1S/C17H16O5/c1-19-13-6-5-10-12-8-21-14-7-9(18)3-4-11(14)15(12)22-16(10)17(13)20-2/h3-7,12,15,18H,8H2,1-2H3",UOVGCLXUTLXAEC-UHFFFAOYSA-N,降香
JX-248,"2-(2?,4?-二甲氧基苯基)-6-羟基苯并呋喃","2-(2?,4?-dimethoxyphenyl)-6-hydroxybenzofuran",/,270.28,C16H14O4 ,,其他,,,,降香
JX-249,6-羟基-2-(2-羟基-4-甲氧基苯基)苯并呋喃,6-hydroxy-2-(2-hydroxy-4-methoxyphenyl)benzofuran,/,270.28,C16H14O4 ,,其他,OC1=C(C=CC(OC)=C1)C2=CC(C=CC(O)=C3)=C3O2,"InChI=1S/C15H12O4/c1-18-11-4-5-12(13(17)8-11)15-6-9-2-3-10(16)7-14(9)19-15/h2-8,16-17H,1H3",XDBDADAPEFSDHG-UHFFFAOYSA-N,降香
JX-250,"3,9-二甲氧基-6H-苯并呋喃［3,2-c］色烯-6-酮","3,9-dimethoxy-6H-benzofuro［3,2-c］chromen-6-one",/,296.27,C17H12O3 ,,其他,O=C1OC2=C(C=CC(OC)=C2)C3=C1C(C=CC(OC)=C4)=C4O3,"InChI=1S/C17H12O5/c1-19-9-3-5-11-13(7-9)21-16-12-6-4-10(20-2)8-14(12)22-17(18)15(11)16/h3-8H,1-2H3",PXHLPCBBXPHBHP-UHFFFAOYSA-N,降香
JX-251,"2,3-二甲氧基呫吨酮 ","2,3-dimethoxyxanthone",42833-49-8,256.253,C15H12O4 ,,蒽醌,O=C1C(C(OC2=CC=CC=C12)=C3)=CC(OC)=C3OC,"InChI=1S/C15H12O4/c1-17-13-7-10-12(8-14(13)18-2)19-11-6-4-3-5-9(11)15(10)16/h3-8H,1-2H3",FWCWUPRCWDSQEN-UHFFFAOYSA-N,降香
JX-252,异荭草素 ,homoorientin,4261-42-1,448.377,C21H20O11 ,,糖苷,O[C@]([C@@](C(C(O)=C([H])C(OC(C(C=C1)=CC(O)=C1O)=C2)=C3C2=O)=C3O)([H])O[C@@](CO)([H])[C@@]4([H])O)([H])[C@@]4([H])O,"InChI=1S/C21H20O11/c22-6-14-17(27)19(29)20(30)21(32-14)16-11(26)5-13-15(18(16)28)10(25)4-12(31-13)7-1-2-8(23)9(24)3-7/h1-5,14,17,19-24,26-30H,6H2/t14-,17-,19+,20-,21+/m1/s1",ODBRNZZJSYPIDI-VJXVFPJBSA-N,降香
JX-253,3-乙酰齐墩果酸 ,3-acetyl oleanolic acid,/,498.75,C32H50O4,,三萜,,,,降香
