编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
JLX-056,苯甲酸苄酯,Benzyl benzoate,120-51-4,212.24,C14H12O2,,挥发油类,O=C(OCC1=CC=CC=C1)C2=CC=CC=C2,"InChI=1S/C14H12O2/c15-14(13-9-5-2-6-10-13)16-11-12-7-3-1-4-8-12/h1-10H,11H2",SESFRYSPDFLNCH-UHFFFAOYSA-N,九里香
JLX-057,α-松油烯,alpha-Terpinene,99-86-5,136.23,C10H16,,挥发油类,CC1=CC=C(C(C)C)CC1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8H,5,7H2,1-3H3",YHQGMYUVUMAZJR-UHFFFAOYSA-N,九里香
JLX-058,石竹烯氧化物,Caryophyllene epoxide,1139-30-6,"	220.35",C15H24O,,挥发油类,C=C1CCC2O[C@@](C)2CC[C@]3([H])[C@]1([H])CC3(C)C,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13?,15-/m1/s1",NVEQFIOZRFFVFW-CZPDGURSSA-N,九里香
JLX-059,α-石竹烯,Alpha-caryophyllene,"	6753-98-6","	204.351",C15H24,,挥发油类,C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1,"InChI=1S/C15H24/c1-13-7-5-8-14(2)10-12-15(3,4)11-6-9-13/h6-7,10-11H,5,8-9,12H2,1-4H3/b11-6+,13-7+,14-10+",FAMPSKZZVDUYOS-HRGUGZIWSA-N,九里香
JLX-060,δ-杜松稀,"Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S-cis)-", 483-76-1,204.35,C15H24,,挥发油类,CC([C@@H]1CCC(C)=C2CCC(C)=C[C@@]12[H])C,"InChI=1S/C15H24/c1-10(2)13-8-6-12(4)14-7-5-11(3)9-15(13)14/h9-10,13,15H,5-8H2,1-4H3/t13-,15-/m0/s1",FUCYIEXQVQJBKY-ZFWWWQNUSA-N,九里香
JLX-061,反-α-香柠檬烯,"2,6-dimethyl-6-(4-methyl-3-pentenyl)bicyclo[3.1.1]hept-2-ene",17699-05-7,204.35,C15H24,,挥发油类,C/C(C)=C/CCC1(C)C2CC=C(C)C1C2,"InChI=1S/C15H24/c1-11(2)6-5-9-15(4)13-8-7-12(3)14(15)10-13/h6-7,13-14H,5,8-10H2,1-4H3",YMBFCQPIMVLNIU-UHFFFAOYSA-N,九里香
JLX-062,β-红没药烯,"1-Methyl-4-(6-methylhepta-1,5-dien-2-yl)-cyclohex-1-ene",495-61-4,204.35,"	C15H24",,挥发油类,C=C(C1CC=C(C)CC1)CC/C=C(C)\C,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,15H,4-5,7,9-11H2,1-3H3",XZRVRYFILCSYSP-UHFFFAOYSA-N,九里香
JLX-063,九里香乙素,Minumicrolin,88546-96-7,276.28,"	
C15H16O5",,香豆素类,CC([C@@H](O)[C@H](O)C1=C(OC)C=CC2=C1OC(C=C2)=O)=C,"InChI=1S/C15H16O5/c1-8(2)13(17)14(18)12-10(19-3)6-4-9-5-7-11(16)20-15(9)12/h4-7,13-14,17-18H,1H2,2-3H3/t13-,14-/m1/s1",DKEANOQWICTXTP-ZIAGYGMSSA-N,九里香
JLX-064,九里香丙素,Murraxocin,88478-44-8,"	
304.34","	
C17H20O5",,香豆素类,CCOC(C(O)C(C)=C)C1=C(C=CC2=C1OC(C=C2)=O)OC,"InChI=1S/C17H20O5/c1-5-21-17(15(19)10(2)3)14-12(20-4)8-6-11-7-9-13(18)22-16(11)14/h6-9,15,17,19H,2,5H2,1,3-4H3",GDLSTIJVZWVVPB-UHFFFAOYSA-N,九里香
JLX-065,九里香醛,Murralongin,53011-72-6,"	
258.27","	
C15H14O4",,香豆素类,C/C(C)=C(C1=C(OC)C=CC2=C1OC(C=C2)=O)\C=O,"InChI=1S/C15H14O4/c1-9(2)11(8-16)14-12(18-3)6-4-10-5-7-13(17)19-15(10)14/h4-8H,1-3H3",PBAZKMWQUBDDLZ-UHFFFAOYSA-N,九里香
JLX-066,九里香酮,Murrayone,19668-69-0,258.27,"	
C15H14O4",,香豆素类,O=C(C=C1)OC2=C1C=CC(OC)=C2CC(C(C)=C)=O,"InChI=1S/C15H14O4/c1-9(2)12(16)8-11-13(18-3)6-4-10-5-7-14(17)19-15(10)11/h4-7H,1,8H2,2-3H3",IISMOXLSZASLDD-UHFFFAOYSA-N,九里香
JLX-067,,Isomeranzin,1088-17-1,"	
260.28",C15H16O4,,香豆素类,O=C1OC2=C(C=CC(OC)=C2CC(C(C)C)=O)C=C1,"InChI=1S/C15H16O4/c1-9(2)12(16)8-11-13(18-3)6-4-10-5-7-14(17)19-15(10)11/h4-7,9H,8H2,1-3H3",OMOYQLRHKFGVGN-UHFFFAOYSA-N,九里香
