编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,,smiles,inchi,inchikey,药材名称
GJY-017,橙皮苷,hesperidin,520-26-3,610.561,C28H34O15,C28H34O15,糖苷,,,,,鬼箭羽
GJY-018,去氢双儿茶素A,dehydrodicatechin A,36048-23-4,576.51,C30H24O12,C30H24O12,黄酮,,,,,鬼箭羽
GJY-019,(+)-儿茶素水合物,d-catechin,225937-10-0,308.283,C15H14O6.xH2O,C15H16O7,黄酮,,,,,鬼箭羽
GJY-020,儿茶素,catechin,154-23-4,290.268,C15H14O6,C15H14O6,黄酮,,OC1C(C2=CC=C(O)C(O)=C2)OC3=C(C(O)=CC(O)=C3)C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2",PFTAWBLQPZVEMU-UHFFFAOYSA-N,鬼箭羽
GJY-021,柚皮苷,naringin,10236-47-2,580.54,C27H32O14,C6H8N2O,糖苷,柚皮苷属于糖苷-结构画错了,O=C1N=C(C)NC(C)=C1,"InChI=1S/C6H8N2O/c1-4-3-6(9)8-5(2)7-4/h3H,1-2H3,(H,7,8,9)",UQFHLJKWYIJISA-UHFFFAOYSA-N,鬼箭羽
GJY-022,芦丁,Rutin,153-18-4,610.52,C27H30O16,C27H30O16,糖苷,,OC1=CC=CC2=C1C(C(O[C@@H]3[C@@H](O)[C@H](O)[C@@H](O)[C@H](C[OH][C@@H]4[C@@H](O)[C@@H](O)[C@H](O)[C@@H](C)O4)O3)=C(C5=CC=C(O)C=C5)O2)=O,"InChI=1S/C27H31O14/c1-10-17(30)20(33)22(35)26(38-10)37-9-15-18(31)21(34)23(36)27(40-15)41-25-19(32)16-13(29)3-2-4-14(16)39-24(25)11-5-7-12(28)8-6-11/h2-8,10,15,17-18,20-23,26-31,33-37H,9H2,1H3/t10-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m1/s1",YKBOGIICTVTAMP-CSEQOTQISA-N,鬼箭羽
GJY-023,槲皮素,quercetin,117-39-5,302.24,C15H10O7,C15H10O7,黄酮,,OC1=C(C2=CC=C(O)C(O)=C2)OC3=C(C(O)=CC(O)=C3)C1=O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,鬼箭羽
GJY-024,quercetin-3-O-β-D-allopyranoside,,90327-16-5,464.376,C21H20O12,C21H20O12,糖苷,,,,,鬼箭羽
GJY-025,山柰酚-7-O-鼠李糖苷,kacmpferol-7-O-α-L-rhamnopyranoside,20196-89-8,432.378,C21H20O10,C21H20O12,糖苷,,,,,鬼箭羽
GJY-026,山奈酚-7-O-葡萄糖苷,kaempferol-7-O-β-D-glucoside,16290-07-6,448.377,C21H20O11,C21H20O12,糖苷,,,,,鬼箭羽
