编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称,,,
POOR-039,牛蒡子苷,Arctiin,20362-31-6,534.5580 ,C27H34O11,,苯丙素,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1OC2=CC=C(C[C@@H]3[C@@H](CC4=CC=C(OC)C(OC)=C4)COC3=O)C=C2OC,"InChI=1S/C27H34O11/c1-33-18-6-4-14(10-20(18)34-2)8-16-13-36-26(32)17(16)9-15-5-7-19(21(11-15)35-3)37-27-25(31)24(30)23(29)22(12-28)38-27/h4-7,10-11,16-17,22-25,27-31H,8-9,12-13H2,1-3H3/t16-,17+,22+,23+,24-,25+,27+/m0/s1",XOJVHLIYNSOZOO-SWOBOCGESA-N,水红花子,,,
POOR-040,,Polygonumin B,362673-15-2,648.7050 ,C36H40O11,,三萜,C[C@]12[C@]34[C@@]([C@H](C5=COC=C5)OC([C@H]3O4)=O)(C)CC[C@]1([H])[C@]([C@@H](OC(/C=C\C(C=C6)=CC(OC)=C6O)=O)CC(OC7(C)C)=O)(C)[C@@]7([H])CC2=O,"InChI=1S/C36H40O11/c1-32(2)24-16-25(38)35(5)23(11-13-33(3)29(20-12-14-43-18-20)45-31(41)30-36(33,35)47-30)34(24,4)26(17-28(40)46-32)44-27(39)10-8-19-7-9-21(37)22(15-19)42-6/h7-10,12,14-15,18,23-24,26,29-30,37H,11,13,16-17H2,1-6H3/b10-8-/t23-,24+,26+,29+,30-,33+,34-,35+,36-/m1/s1",YFGSDNFZCGKMGR-BJNFNYNQSA-N,水红花子,,,
POOR-041,,Deacetylnomilin,3264-90-2,472.5340 ,C26H32O8,,三萜,C[C@]12C3(OC3C4=O)[C@@]([C@H](C5=COC=C5)O4)(C)CCC1[C@]([C@@H](O)CC(OC6(C)C)=O)(C)[C@@]6([H])CC2=O,"InChI=1S/C26H32O8/c1-22(2)15-10-17(28)25(5)14(24(15,4)16(27)11-18(29)33-22)6-8-23(3)19(13-7-9-31-12-13)32-21(30)20-26(23,25)34-20/h7,9,12,14-16,19-20,27H,6,8,10-11H2,1-5H3/t14?,15-,16-,19-,20?,23-,24+,25-,26?/m0/s1",HWAJASVMTDEFJN-PXAJADRCSA-N,水红花子,,,
POOR-042,,Nomilin,1063-77-0,514.5710 ,C28H34O9,,三萜,C[C@]12[C@]34[C@@]([C@H](C5=COC=C5)OC([C@H]3O4)=O)(C)CC[C@]1([H])[C@]([C@@H](OC(C)=O)CC(OC6(C)C)=O)(C)[C@@]6([H])CC2=O,"InChI=1S/C28H34O9/c1-14(29)34-19-12-20(31)36-24(2,3)17-11-18(30)27(6)16(26(17,19)5)7-9-25(4)21(15-8-10-33-13-15)35-23(32)22-28(25,27)37-22/h8,10,13,16-17,19,21-22H,7,9,11-12H2,1-6H3/t16-,17+,19+,21+,22-,25+,26-,27+,28-/m1/s1",KPDOJFFZKAUIOE-WNGDLQANSA-N,水红花子,,,
POOR-043,,Rutaevin,33237-37-5,486.5170 ,C26H30O9,,三萜,C[C@]12[C@]34[C@@]([C@H](C5=COC=C5)OC([C@H]3O4)=O)(C)CC[C@]1([H])[C@]67[C@]([H])(C(C)(C)O[C@@]6([H])CC(OC7)=O)C([C@@H]2O)=O,"InChI=1S/C26H30O9/c1-22(2)17-16(28)18(29)24(4)13(25(17)11-32-15(27)9-14(25)34-22)5-7-23(3)19(12-6-8-31-10-12)33-21(30)20-26(23,24)35-20/h6,8,10,13-14,17-20,29H,5,7,9,11H2,1-4H3/t13-,14-,17-,18-,19-,20+,23-,24-,25-,26+/m0/s1",YZMKFMIZNSOPSN-XGTMLCIVSA-N,水红花子,,,
POOR-044,,Rutaevin acetate,62306-81-4,528.5540 ,C28H32O10,,三萜,C[C@]12[C@]34[C@@]([C@H](C5=COC=C5)OC([C@H]3O4)=O)(C)CC[C@]1([H])[C@]67[C@]([H])(C(C)(C)O[C@@]6([H])CC(OC7)=O)C([C@@H]2OC(C)=O)=O,"InChI=1S/C28H32O10/c1-13(29)35-21-18(31)19-24(2,3)37-16-10-17(30)34-12-27(16,19)15-6-8-25(4)20(14-7-9-33-11-14)36-23(32)22-28(25,38-22)26(15,21)5/h7,9,11,15-16,19-22H,6,8,10,12H2,1-5H3/t15-,16-,19-,20-,21-,22+,25-,26-,27-,28+/m0/s1",YBJGIQUVRQCMSY-PXJXPABCSA-N,水红花子,,,
POOR-045,对-羟基桂皮酸,p-Hydroxy cinnamic acid,501-98-4,164.1600 ,C9H8O3,,酚酸,OC1=CC=C(/C=C/C(O)=O)C=C1,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,水红花子,,,
POOR-046,"3,4-二羟基苯甲酸甲酯","Methyl3,4-dihydroxybenzoate",2150-43-8,168.1480 ,C8H8O4,,酚酸,OC1=C(O)C=C(C(OC)=O)C=C1,"InChI=1S/C8H8O4/c1-12-8(11)5-2-3-6(9)7(10)4-5/h2-4,9-10H,1H3",CUFLZUDASVUNOE-UHFFFAOYSA-N,水红花子,,,
POOR-047,罗布麻宁,Apocynin,498-02-2,166.1760 ,C9H10O3,,酚酸,OC1=C(OC)C=C(C(C)=O)C=C1,"InChI=1S/C9H10O3/c1-6(10)7-3-4-8(11)9(5-7)12-2/h3-5,11H,1-2H3",DFYRUELUNQRZTB-UHFFFAOYSA-N,水红花子,,,
POOR-048,白桦酯酸,Betulinic acid, 472-15-1,456.7110 ,C30H48O3,,酚酸,O=C(O)[C@@]12CC[C@]3(C)[C@]([C@@]1([H])[C@H](C(C)=C)CC2)([H])CC[C@]([C@@]3(C)CC4)([H])[C@]5(C)[C@]4([H])C(C)(C)[C@@H](O)CC5,"InChI=1S/C30H48O3/c1-18(2)19-10-15-30(25(32)33)17-16-28(6)20(24(19)30)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h19-24,31H,1,8-17H2,2-7H3,(H,32,33)/t19-,20+,21-,22+,23-,24+,27-,28+,29+,30-/m0/s1",QGJZLNKBHJESQX-FZFNOLFKSA-N,水红花子,,,
