编号,化学名,英文名称,分子式,分子量,CAS号,2D图,分类,smiles,inchi,inchikey,药材名称
SM-011,氧化苏木精,hematein,C16H12O6,300.26 ,475-25-2,,酚类,OC(C1)(COC2=C3C=CC(O)=C2O)C3C(C=C4O)C1=CC4=O,"InChI=1S/C16H14O6/c17-10-2-1-8-13-9-4-12(19)11(18)3-7(9)5-16(13,21)6-22-15(8)14(10)20/h1-4,9,13,17,19-21H,5-6H2",OCKDNTPIGQFXFL-UHFFFAOYSA-N,苏木
SM-012,,brazilane," 
C16H14O4"," 
270.28 ",/,,酚类,OC1=CC=C([C@@](C(C=C(O)C(O)=C2)=C2C3)([H])[C@@]3([H])CO4)C4=C1,"InChI=1S/C16H14O4/c17-10-1-2-11-15(5-10)20-7-9-3-8-4-13(18)14(19)6-12(8)16(9)11/h1-2,4-6,9,16-19H,3,7H2/t9-,16-/m1/s1",ZWERDMHQFRTYIN-JDNHERCYSA-N,苏木
SM-013,苏木酮A,sappanone A," 
C16H12O5",284.26 ,102067-84-5,,黄酮类,OC1=CC=C(C(/C(CO2)=C/C3=CC=C(O)C(O)=C3)=O)C2=C1,"InChI=1S/C16H12O5/c17-11-2-3-12-15(7-11)21-8-10(16(12)20)5-9-1-4-13(18)14(19)6-9/h1-7,17-19H,8H2/b10-5+",KVYZXXBTJHJISR-BJMVGYQFSA-N,苏木
SM-014,3-去氧苏木酮 B,3-deoxysappanone B,C16H14O5,286.28 ,113122-54-6,,黄酮类,O=C1[C@@H](CC2=CC(O)=C(O)C=C2)COC3=C1C=CC(O)=C3,"InChI=1S/C16H14O5/c17-11-2-3-12-15(7-11)21-8-10(16(12)20)5-9-1-4-13(18)14(19)6-9/h1-4,6-7,10,17-19H,5,8H2/t10-/m0/s1",KCUXSQJYIWEGRG-JTQLQIEISA-N,苏木
SM-015,苏木酮B,sappanone B,C16H14O6,302.28 ,"	104778-15-6",,黄酮类,OC1=CC=C(C=C1O)/C=C2C(C3=CC=C(O)C=C3OC/2)=O,"InChI=1S/C16H12O5/c17-11-2-3-12-15(7-11)21-8-10(16(12)20)5-9-1-4-13(18)14(19)6-9/h1-7,17-19H,8H2/b10-5+",KVYZXXBTJHJISR-BJMVGYQFSA-N,苏木
SM-016,鸢尾苷,tectoridin,C22H22O11,462.40 ,611-40-5,,黄酮类,O[C@H]([C@H]1O)[C@@H]([C@@H](CO)O[C@H]1OC(C=C(C2=C3O)OC=C(C(C=C4)=CC=C4O)C2=O)=C3OC)O,"InChI=1S/C22H22O11/c1-30-21-13(32-22-20(29)19(28)17(26)14(7-23)33-22)6-12-15(18(21)27)16(25)11(8-31-12)9-2-4-10(24)5-3-9/h2-6,8,14,17,19-20,22-24,26-29H,7H2,1H3/t14-,17-,19+,20-,22-/m1/s1",CNOURESJATUGPN-UDEBZQQRSA-N,苏木
SM-017,苏木黄素,sappanol,C16H16O6,304.29 ,111254-19-4,,黄酮类,OC1=CC(OC[C@@]2(CC(C=C3)=CC(O)=C3O)O[H])=C(C=C1)[C@@H]2O[H],"InChI=1S/C16H16O6/c17-10-2-3-11-14(6-10)22-8-16(21,15(11)20)7-9-1-4-12(18)13(19)5-9/h1-6,15,17-21H,7-8H2/t15-,16+/m0/s1",MPGFEHZDABUJFR-JKSUJKDBSA-N,苏木
SM-018,/,8-methoxybonducellin," 
C18H16O5"," 
312.30 ",90996-27-3,,黄酮类,OC1=CC=C2C(OC/C(C2=O)=C\C3=CC=C(OC)C=C3)=C1OC,"InChI=1S/C18H16O5/c1-21-13-5-3-11(4-6-13)9-12-10-23-17-14(16(12)20)7-8-15(19)18(17)22-2/h3-9,19H,10H2,1-2H3/b12-9+",WOXQROZUZURVHX-FMIVXFBMSA-N,苏木
SM-019,/,3，9-dihydroxy-8-methoxy-dibenzo ［b，d］ pyran-6-one,C14H10O5,258.23 ,713519-19-8,,黄酮类,OC1=C(OC)C=C(C(OC2=CC(O)=CC=C23)=O)C3C1,"InChI=1S/C14H12O5/c1-18-13-6-10-9(5-11(13)16)8-3-2-7(15)4-12(8)19-14(10)17/h2-4,6,9,15-16H,5H2,1H3",LZZULDLTDIQZDT-UHFFFAOYSA-N,苏木
SM-020,/,3'，4'，7-trihydroxyisoflavanone,C15H12O5," 
272.25",/,,黄酮类,O=C1C2=CC=C(O)C=C2OC(C3=CC(O)=C(O)C=C3)C1,"InChI=1S/C15H12O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-6,14,16-17,19H,7H2",MJBPUQUGJNAPAZ-UHFFFAOYSA-N,苏木
SM-021, （土) -7，3'，4'-三羟基黄酮,［( 土) -7，3'，4'-trihydroxyflavanone］," 
C15H12O5",272.25 ,492-14-8,,黄酮类,O=C1C2=CC=C(O)C=C2OC(C3=CC(O)=C(O)C=C3)C1,"InChI=1S/C15H12O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-6,14,16-17,19H,7H2",MJBPUQUGJNAPAZ-UHFFFAOYSA-N,苏木
SM-022,3'，4'，7-三羟基异黄酮,3'，4'，7-trihydroxyisoflavone," 
C15H10O5",270.24 ,485-63-2,,黄酮类,O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(O)C(O)=C3,"InChI=1S/C15H10O5/c16-9-2-3-10-14(6-9)20-7-11(15(10)19)8-1-4-12(17)13(18)5-8/h1-7,16-18H",DDKGKOOLFLYZDL-UHFFFAOYSA-N,苏木
SM-023,3，7-二羟基色原酮,3，7-dihydroxy-chromen-4-one,C15H10O6,286.24 ,528-48-3,,黄酮类,O=C1C2=CC=C(O)C=C2OC=C1O,"InChI=1S/C9H6O4/c10-5-1-2-6-8(3-5)13-4-7(11)9(6)12/h1-4,10-11H",ZZYLCDXPJISRAD-UHFFFAOYSA-N,苏木
SM-024,5，7-二羟基-4'-甲氧基异黄酮,5，7-dihydroxy-4'-methoxyisoflavone,C16H12O5,284.26 ,491-80-5,,黄酮类,O=C1C2=CC=C(O)C=C2OC=C1O,"InChI=1S/C9H6O4/c10-5-1-2-6-8(3-5)13-4-7(11)9(6)12/h1-4,10-11H",ZZYLCDXPJISRAD-UHFFFAOYSA-N,苏木
SM-025,3，7-二羟基-3-( 4'-羟基) -4-色原酮,3，7-dihydroxy-3-( 4'-hydroxybenzyl) -chroman-4-one,C16H14O5,286.28 ,110064-51-2,,黄酮类,OC1=CC=C2C(OCC(CC3=CC=C(O)C=C3)(O)C2=O)=C1,"InChI=1S/C16H14O5/c17-11-3-1-10(2-4-11)8-16(20)9-21-14-7-12(18)5-6-13(14)15(16)19/h1-7,17-18,20H,8-9H2",PLLFWTNDXCAINR-UHFFFAOYSA-N,苏木
SM-026,7-羟基-8-甲氧基-3-( 4'-甲氧基) -4-色原酮,7-hydroxy-8-methoxy-3-( 4'-methoxybenzylidene) -chroman-4-one,C18H16O5," 
312.30 ",90996-27-3,,黄酮类,O=C1/C(COC2=C1C=CC(O)=C2OC)=C/C3=CC=C(OC)C=C3,"InChI=1S/C18H16O5/c1-21-13-5-3-11(4-6-13)9-12-10-23-17-14(16(12)20)7-8-15(19)18(17)22-2/h3-9,19H,10H2,1-2H3/b12-9+",WOXQROZUZURVHX-FMIVXFBMSA-N,苏木
SM-027,7-羟基-3-( 4'-羟基) -4-色原酮,7-hydroxy-3-( 4'-hydroxybenzylidene) -chroman-4-one,C16H12O4,268.26 ,110064-50-1,,黄酮类,O=C1/C(COC2=C1C=CC(O)=C2)=C/C3=CC=C(O)C=C3,"InChI=1S/C16H12O4/c17-12-3-1-10(2-4-12)7-11-9-20-15-8-13(18)5-6-14(15)16(11)19/h1-8,17-18H,9H2/b11-7+",CWFKSHWAQPOKQP-YRNVUSSQSA-N,苏木
SM-028,3，7-二羟基-4-色原烷酮,3，7-dihydroxy-chroman-4-one,C15H12O6," 
288.25 ",20725-03-5,,黄酮类,OC1=CC2=C(C([C@@H](O)CO2)=O)C=C1,"InChI=1S/C9H8O4/c10-5-1-2-6-8(3-5)13-4-7(11)9(6)12/h1-3,7,10-11H,4H2/t7-/m0/s1",GLPDBGACWOZVNL-ZETCQYMHSA-N,苏木
SM-029,3，8，9-三羟基-6H-［c］ 苯并吡喃-6-酮,3，8，9-trihydroxy-6H-benzo ［c］ chromen-6-one,C13H8O5," 
244.20",165393-06-6,,黄酮类,O=C1C2=CC(O)=C(O)C=C2C3=CC=C(O)C=C3O1,"InChI=1S/C13H8O5/c14-6-1-2-7-8-4-10(15)11(16)5-9(8)13(17)18-12(7)3-6/h1-5,14-16H",HHXMEXZVPJFAIJ-UHFFFAOYSA-N,苏木
SM-030,( E) -3-( 3，4-二羟基苯亚甲基) -7-羟基色满-4-酮,( E) -3-( 3，4-dihydroxybenzylidene) -7-hydroxychroman-4-one,C16H12O5,284.26 ,102067-84-5,,黄酮类,OC1CC=C2C(OC/C(C2=O)=C\C3=CC=C(O)C(O)=C3)=C1,"InChI=1S/C16H14O5/c17-11-2-3-12-15(7-11)21-8-10(16(12)20)5-9-1-4-13(18)14(19)6-9/h1,3-7,11,17-19H,2,8H2/b10-5+",OCCBGWIFDAPNQX-BJMVGYQFSA-N,苏木
SM-031,7，3'，4'-三羟基二氢黄酮,7，3'，4'-trihydroxydihydroflavone, C15H12O5,272.25 ,492-14-8,,黄酮类,O=C1C(C=CC(O)=C2)=C2O[C@H](C(C=C3)=CC(O)=C3O)C1,"InChI=1S/C15H12O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-6,14,16-17,19H,7H2/t14-/m0/s1",MJBPUQUGJNAPAZ-AWEZNQCLSA-N,苏木
SM-032,7，3'，4'-三羟基异黄酮,7，3'，4'-trihydroxyisoflavone,C15H10O5,270.24 ,2150-11-0,,黄酮类,O=C1C(C2=CC=C(O)C(O)=C2)=COC3=C1C=CC(O)=C3,"InChI=1S/C15H10O5/c16-9-2-3-10-14(6-9)20-7-11(15(10)19)8-1-4-12(17)13(18)5-8/h1-7,16-18H",DDKGKOOLFLYZDL-UHFFFAOYSA-N,苏木
SM-033,3'-去氧苏木醇,3'-deoxysappanol," 
C16H16O5",288.29 ,/,,色原酮类,OC1=CC=C([C@H](O)[C@](CC2=CC(O)=C(O)C=C2)(O)CO3)C3=C1,"InChI=1S/C16H16O6/c17-10-2-3-11-14(6-10)22-8-16(21,15(11)20)7-9-1-4-12(18)13(19)5-9/h1-6,15,17-21H,7-8H2/t15-,16+/m0/s1",MPGFEHZDABUJFR-JKSUJKDBSA-N,苏木
SM-034,表苏木醇, episappanol,C16H16O6,304.29 ,111254-18-3,,色原酮类,OC(C=C1)=CC2=C1[C@@H](O)[C@](CC3=CC(O)=C(O)C=C3)(O)CO2,"InChI=1S/C16H16O6/c17-10-2-3-11-14(6-10)22-8-16(21,15(11)20)7-9-1-4-12(18)13(19)5-9/h1-6,15,17-21H,7-8H2/t15-,16-/m1/s1",MPGFEHZDABUJFR-HZPDHXFCSA-N,苏木
SM-035,4-O-甲基表苏木醇,4-O-methylepisappanol," 
C17H18O6"," 
318.32 ",112529-37-0,,色原酮类,OC1=CC=C([C@@H](O)[C@](CC2=CC(OC)=C(O)C=C2)(O)CO3)C3=C1,"InChI=1S/C17H18O6/c1-22-15-6-10(2-5-13(15)19)8-17(21)9-23-14-7-11(18)3-4-12(14)16(17)20/h2-7,16,18-21H,8-9H2,1H3/t16-,17-/m1/s1",JIJQATZAZOPDCS-IAGOWNOFSA-N,苏木
SM-036,3'-去氧-4-甲氧基表苏木醇,3'-deoxy-4-O-methylepisappanol,C17H18O5," 
302.32 ",1052714-12-1,,色原酮类,OC1=CC=C([C@@H](OC)[C@](CC2=CC=C(O)C(O)=C2)(O)CO3)C3=C1,"InChI=1S/C17H18O6/c1-22-16-12-4-3-11(18)7-15(12)23-9-17(16,21)8-10-2-5-13(19)14(20)6-10/h2-7,16,18-21H,8-9H2,1H3/t16?,17-/m1/s1",HHDPKXQKOWHDNA-ZYMOGRSISA-N,苏木
SM-037,4-O-甲基苏木醇,4-O-methylsappanol,C17H18O6," 
318.32",104778-16-7,,色原酮类,CO[C@H]1C2=C(OC[C@]1(O)CC3=CC=C(O)C=C3)C=C(O)C=C2,"InChI=1S/C17H18O5/c1-21-16-14-7-6-13(19)8-15(14)22-10-17(16,20)9-11-2-4-12(18)5-3-11/h2-8,16,18-20H,9-10H2,1H3/t16-,17+/m0/s1",NRDMATSOBGRQDO-DLBZAZTESA-N,苏木
SM-038,3'-去氧-4-甲氧基苏木醇,3'-deoxy-4-O-methylsappanol,C17H18O5," 
302.32",112408-68-1,,色原酮类,O[C@]1(CC2=CC=C(O)C=C2)COC3=C(C=CC(O)=C3)[C@@H]1OC,"InChI=1S/C17H18O5/c1-21-16-14-7-6-13(19)8-15(14)22-10-17(16,20)9-11-2-4-12(18)5-3-11/h2-8,16,18-20H,9-10H2,1H3/t16-,17+/m0/s1",NRDMATSOBGRQDO-DLBZAZTESA-N,苏木
SM-039,/,（ － ) -5-O-methyllatifolin," 
C18H20O4",300.30 ,/,,色原酮类,OC1=CC=C([C@H](OC)[C@](CC2=CC=C(O)C=C2)(O)CO3)C3=C1,"InChI=1S/C17H18O5/c1-21-16-14-7-6-13(19)8-15(14)22-10-17(16,20)9-11-2-4-12(18)5-3-11/h2-8,16,18-20H,9-10H2,1H3/t16?,17-/m1/s1",NRDMATSOBGRQDO-ZYMOGRSISA-N,苏木
SM-040,/,( － ) -latifolin,C17H18O4,286.32 ,10154-42-4,,酚类,OC1=CC([C@@H](C2=CC=CC=C2O)C=C)=C(OC)C=C1OC,"InChI=1S/C17H18O4/c1-4-11(12-7-5-6-8-14(12)18)13-9-15(19)17(21-3)10-16(13)20-2/h4-11,18-19H,1H2,2-3H3/t11-/m1/s1",OJVQOGDGFIJYPN-LLVKDONJSA-N,苏木
