编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
HZ-063,黄葵内酯,Ambrettolide,123-69-3,252.39,C16H28O2,,挥发油类,O=C1CCCC/C=C/CCCCCCCCCO1,"InChI=1S/C16H28O2/c17-16-14-12-10-8-6-4-2-1-3-5-7-9-11-13-15-18-16/h4,6H,1-3,5,7-15H2/b6-4+",HMWPDRYGIBLSHB-GQCTYLIASA-N,虎杖
HZ-064,没食子酸,Gallic acid,149-91-7,170.12,C7H6O5,,酚酸类,OC1=C(O)C(O)=CC(C(O)=O)=C1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,虎杖
HZ-065,2，6-二羟基苯甲酸,"2,6-Dihydroxybenzoic acid",303-07-1,154.12,C7H6O4,,酚酸类,OC1=C(C(O)=O)C(O)=CC=C1,"InChI=1S/C7H6O4/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3,8-9H,(H,10,11)",AKEUNCKRJATALU-UHFFFAOYSA-N,虎杖
HZ-066,β-谷甾醇,β-Sitosterol,83-46-5,414.71,C29H50O,,甾体类,C[C@@]12[C@](CC[C@]2([H])[C@H](C)CC[C@@H](CC)C(C)C)([H])[C@@]3([H])[C@@](CC1)([H])[C@@]4(C(C[C@H](CC4)O)=CC3)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N,虎杖
HZ-067,齐墩果酸,Oleanolic acid,508-02-1,456.7,C30H48O3,,三萜类,C[C@]12[C@]3(C([C@@]4([H])[C@@](CC3)(CCC(C)(C4)C)C(O)=O)=CC[C@]1([H])[C@@]5([C@@](C(C)([C@H](CC5)O)C)([H])CC2)C)C,"InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",MIJYXULNPSFWEK-GTOFXWBISA-N,虎杖
HZ-068,1-(3-O-β-D-吡喃葡萄糖基-4，5-二羟基-苯基)-乙酮,"1- (3-O)- β- D-glucopyranose-4,5-dihydroxy-phenyl) - ethanone",/,316.26,C13H16O9,,苯丙素类,CC(C1=CC(O[C@H]2[C@H](O)[C@H](O)C(O)[C@@H](O)O2)=C(O)C(O)=C1)=O,"InChI=1S/C13H16O9/c1-4(14)5-2-6(15)8(16)7(3-5)21-13-11(19)9(17)10(18)12(20)22-13/h2-3,9-13,15-20H,1H3/t9-,10?,11-,12+,13-/m1/s1",BRGOIACOTQSOPY-JVGWCMFKSA-N,虎杖
HZ-069,它乔糖苷,Tachioside,109194-60-7,302.28,C13H18O8,,糖苷类,OC[C@H]([C@H]([C@@H]([C@H]1O)O)O)O[C@H]1OC2=CC(OC)=C(C=C2)O,"InChI=1S/C13H18O8/c1-19-8-4-6(2-3-7(8)15)20-13-12(18)11(17)10(16)9(5-14)21-13/h2-4,9-18H,5H2,1H3/t9-,10-,11+,12-,13-/m1/s1",KWVHACHAQJFTLZ-UJPOAAIJSA-N,虎杖
HZ-070,异它乔糖苷,Isotachioside,31427-08-4,302.28,C13H18O8,,糖苷类,COC(C=C(C=C1)O)=C1O[C@@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO,"InChI=1S/C13H18O8/c1-19-8-4-6(15)2-3-7(8)20-13-12(18)11(17)10(16)9(5-14)21-13/h2-4,9-18H,5H2,1H3/t9-,10-,11+,12-,13-/m1/s1",LWEHRPZXRYZMDC-UJPOAAIJSA-N,虎杖
HZ-071,酒石酸,Tartaric acid,87-69-4,150.09,C4H6O6,,酚酸类,OC([C@H](O)[C@@H](O)C(O)=O)=O,"InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1",FEWJPZIEWOKRBE-JCYAYHJZSA-N,虎杖
HZ-072,苹果酸,Malic acid,6915-15-7,134.09,C4H6O5,,酚酸类,OC(C(O)=O)CC(O)=O,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",BJEPYKJPYRNKOW-UHFFFAOYSA-N,虎杖
HZ-073,柠檬酸,Citric acid,77-92-9,192.12,C6H8O7,,酚酸类,O=C(O)CC(C(O)=O)(O)CC(O)=O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",KRKNYBCHXYNGOX-UHFFFAOYSA-N,虎杖
