编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,类别,smiles,inchi,inchikey,药材名称
PECH-086,(+)-杜仲树脂酚,(+)-Pinoresinol,487-36-5,358.3900,C20H22O6,,酚酸,OC1=CC=C([C@@H]2[C@](CO[C@@H]3C4=CC(OC)=C(O)C=C4)([H])[C@]3([H])CO2)C=C1OC,"InChI=1S/C20H22O6/c1-23-17-7-11(3-5-15(17)21)19-13-9-26-20(14(13)10-25-19)12-4-6-16(22)18(8-12)24-2/h3-8,13-14,19-22H,9-10H2,1-2H3/t13-,14-,19+,20+/m0/s1",HGXBRUKMWQGOIE-AFHBHXEDSA-N,赶黄草
PECH-087,(+)-表松脂酚,(+)-Medioresinol,40957-99-1,388.4160,C21H24O7,,酚酸,OC1=C([OH3]C)C=C([C@@H]2[C@](CO[C@@H]3C4=CC(OC)=C(O)C=C4)([H])[C@]3([H])CO2)C=C1OC,"InChI=1S/C21H27O7/c1-24-16-6-11(4-5-15(16)22)20-13-9-28-21(14(13)10-27-20)12-7-17(25-2)19(23)18(8-12)26-3/h4-8,13-14,20-23H,9-10H2,1-3,25H3/t13-,14-,20+,21+/m0/s1",OSLFHJUVLITBSV-BMHXQBNDSA-N,赶黄草
PECH-088,(+)-表丁香脂素,(+)-Epipinoresinol,24404-50-0,358.3900,C20H22O6,,酚酸,OC1=CC=C([C@@H]2[C@](CO[C@H]3C4=CC(OC)=C(O)C=C4)([H])[C@]3([H])CO2)C=C1OC,"InChI=1S/C20H22O6/c1-23-17-7-11(3-5-15(17)21)19-13-9-26-20(14(13)10-25-19)12-4-6-16(22)18(8-12)24-2/h3-8,13-14,19-22H,9-10H2,1-2H3/t13-,14-,19-,20+/m0/s1",HGXBRUKMWQGOIE-WZBLMQSHSA-N,赶黄草
PECH-089,(+)-丁香脂素,(+)-Episyringaresinol,21453-71-4,418.4420,C22H26O8,,酚酸,OC1=C([OH3]C)C=C([C@@H]2[C@](CO[C@H]3C4=CC(OC)=C(O)C(OC)=C4)([H])[C@]3([H])CO2)C=C1OC,"InChI=1S/C22H29O8/c1-25-15-5-11(6-16(26-2)19(15)23)21-13-9-30-22(14(13)10-29-21)12-7-17(27-3)20(24)18(8-12)28-4/h5-8,13-14,21-24H,9-10H2,1-4,25H3/t13-,14-,21+,22-/m0/s1",YRBLXOXBUMXKOB-JVAKMFGZSA-N,赶黄草
PECH-090,短叶苏木酚酸,Brevifolin,477-94-1,248.1900,C12H8O6,,酚酸,OC1=C(O)C=C(C(OC2=C3CCC2=O)=O)C3=C1O,"InChI=1S/C12H8O6/c13-6-2-1-4-8-5(12(17)18-11(4)6)3-7(14)9(15)10(8)16/h3,14-16H,1-2H2",FXVRSKPFWVYCPN-UHFFFAOYSA-N,赶黄草
PECH-091,鞣花酸,Ellagic acid,476-66-4,302.1940,C14H6O8,,酚酸,OC1=C(C(OC2=CC(O)=C3O)=O)C(C2=C3C(O4)=O)=C4C=C1O,"InChI=1S/C14H6O8/c15-3-1-5-7-8-6(22-14(20)9(7)11(3)17)2-4(16)12(18)10(8)13(19)21-5/h1-2,15-18H",LPVRYTKIAXNQNE-UHFFFAOYSA-N,赶黄草
PECH-092,岩白菜素,Bergenin,477-90-7,328.2730,C14H16O9,,酚酸,OC1=C([OH3]C)C(O)=C(C2C([C@@H](O)[C@H](O)[C@@H](CO)O2)OC3=O)C3=C1,"InChI=1S/C14H19O9/c1-21-11-5(16)2-4-7(9(11)18)12-13(23-14(4)20)10(19)8(17)6(3-15)22-12/h2,6,8,10,12-13,15-19H,3H2,1,21H3/t6-,8-,10+,12?,13?/m1/s1",LWNFCTJZUPCWME-SCJLDKRJSA-N,赶黄草
PECH-093,4-O-没食子酰岩白菜素,4-O-Galloylbergenin,82958-45-0,480.3780,C21H20O13,,酚酸,OC1=C([OH3]C)C(O)=C(C2C([C@@H](OC(C3=CC(O)=C(O)C(O)=C3)=O)[C@H](O)[C@@H](CO)O2)OC4=O)C4=C1,"InChI=1S/C21H23O13/c1-31-16-10(25)4-7-12(15(16)28)17-19(34-21(7)30)18(14(27)11(5-22)32-17)33-20(29)6-2-8(23)13(26)9(24)3-6/h2-4,11,14,17-19,22-28H,5H2,1,31H3/t11-,14-,17?,18+,19?/m1/s1",QTCKIWDXHCGWKW-AUZGTQFYSA-N,赶黄草
PECH-094,11-O-没食子酰岩白菜素,11-O-Galloylbergenin,82958-44-9,480.3780,C21H20O13,,酚酸,OC1=C([OH3]C)C(O)=C(C2C([C@@H](O)[C@H](O)[C@@H](COC(C3=CC(O)=C(O)C(O)=C3)=O)O2)OC4=O)C4=C1,"InChI=1S/C21H23O13/c1-31-17-10(24)4-7-12(15(17)27)18-19(34-21(7)30)16(28)14(26)11(33-18)5-32-20(29)6-2-8(22)13(25)9(23)3-6/h2-4,11,14,16,18-19,22-28H,5H2,1,31H3/t11-,14-,16+,18?,19?/m1/s1",VIOUNKACZKKAFX-NWKCFGFVSA-N,赶黄草
PECH-095,"(4'E)-2,3'-Dihydroxy-3-methoxy-6'-methanone-benzophenone-4-O-β-D-glucopyranoside","(4'E)-2,3'-Dihydroxy-3-methoxy-6'-methanone-benzophenone-4-O-β-D-glucopyranoside",2803716-48-3,504.4880,C25H28O11,,酚酸,O=C(C1=CC(O)=C(/C=C/C)C=C1C(C)=O)C2=CC=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C(OC)=C2O,"InChI=1S/C25H28O11/c1-4-5-12-8-14(11(2)27)15(9-16(12)28)19(29)13-6-7-17(24(34-3)20(13)30)35-25-23(33)22(32)21(31)18(10-26)36-25/h4-9,18,21-23,25-26,28,30-33H,10H2,1-3H3/b5-4+/t18-,21-,22+,23-,25-/m1/s1",DAKUVSPEWHJWCY-NYHFPGAVSA-N,赶黄草
