编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,分类,smiles,inchi,inchikey,药材名称
JB-023,香豆素,coumarin,91-64-5,146.14,C9H6O2,,香豆素,O=C1C=CC2=CC=CC=C2O1,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,卷柏
JB-024,咖啡酸,caffeic acid,331-39-5,180.16,C9H8O4,,酚酸类,OC1=C(O)C=C(C=CC(O)=O)C=C1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)",QAIPRVGONGVQAS-UHFFFAOYSA-N,卷柏
JB-025,阿魏酸,ferulaic acid,1135-24-6,194.18,C10H10O4,,酚酸类,COC1=C(O)C=CC(C=CC(O)=O)=C1,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)",KSEBMYQBYZTDHS-UHFFFAOYSA-N,卷柏
JB-026,丁香脂素,syringaresinol,1177-14-6,418.44,C22H26O8,,黄酮类,COC1=C(C2=C3C(C(C=C(O3)C4=CC=C(O)C=C4)=O)=C(O)C=C2O)C=C(C5=CC(C6=C(O)C=C(O)C=C6O5)=O)C=C1,"InChI=1S/C31H20O10/c1-39-24-7-4-15(26-12-22(37)29-19(34)9-17(33)10-27(29)40-26)8-18(24)28-20(35)11-21(36)30-23(38)13-25(41-31(28)30)14-2-5-16(32)6-3-14/h2-13,32-36H,1H3",IWEIJEPIYMAGTH-UHFFFAOYSA-N,卷柏
JB-027,7-羟基香豆素,7-dihydroxycoumarin,93-35-6,162.14,C9H6O3,,香豆素,OC1=CC(O2)=C(C=CC2=O)C=C1,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H",ORHBXUUXSCNDEV-UHFFFAOYSA-N,卷柏
JB-028,胆甾醇,cholesterol,57-88-5,386.65,C27H46O,,甾体,CC(CCC[C@@]([C@@]1([H])CC[C@@]2([H])[C@]([C@]3([H])CC[C@]12C)([H])CC=C4C[C@](O)([H])CC[C@@]43C)([H])C)C,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",HVYWMOMLDIMFJA-DPAQBDIFSA-N,卷柏
JB-029,β-谷甾醇,β-sitosterol,83-46-5,414.71,C29H50O,,甾体,C[C@@]12[C@](CC[C@]2([H])[C@H](C)CC[C@@H](CC)C(C)C)([H])[C@@]3([H])[C@@](CC1)([H])[C@@]4(C(C[C@H](CC4)O)=CC3)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N,卷柏
JB-030,D-甘露醇,D-mannitol,69-65-8,182.17,C6H14O6,,糖类,OC[C@](O)([H])[C@](O)([H])[C@@](O)([H])[C@@](O)([H])CO,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4-,5-,6-/m1/s1",FBPFZTCFMRRESA-KVTDHHQDSA-N,卷柏
JB-031,莽草酸,shikimie acid,138-59-0,174.15,C7H10O5,,酚酸类,O[C@]1([H])C=C(C(O)=O)C[C@](O)([H])[C@]1([H])O,"InChI=1S/C7H10O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,4-6,8-10H,2H2,(H,11,12)/t4-,5-,6-/m1/s1",JXOHGGNKMLTUBP-HSUXUTPPSA-N,卷柏
JB-032,胡萝卜苷,daucostero,474-58-8,576.85,C35H60O6,,甾体,OC[C@](O1)([H])[C@](O)([H])[C@@](O)([H])[C@](O)([H])[C@]1([H])O[C@]([H])(CC2=CC[C@]([H])([C@]3([H])CC[C@]45C)[C@]5([H])CC[C@]4([H])[C@@]([H])(CC[C@]([H])(C(C)C)CC)C)CC[C@@]23C,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-OFUAXYCQSA-N,卷柏
JB-033,7α-羟基谷甾醇,7 α–hydroxysitosterol,34427-61-7,430.7061,C29H50O2,,甾体,CC[C@](C(C)C)([H])CC[C@@]([C@@]1([H])CC[C@@]2([H])[C@@]([C@@](O)([H])C=C3C[C@](O)([H])CC[C@@]34C)([H])[C@]4([H])CC[C@]12C)([H])C,"InChI=1S/C29H50O2/c1-7-20(18(2)3)9-8-19(4)23-10-11-24-27-25(13-15-29(23,24)6)28(5)14-12-22(30)16-21(28)17-26(27)31/h17-20,22-27,30-31H,7-16H2,1-6H3/t19-,20-,22+,23-,24+,25+,26-,27+,28+,29-/m1/s1",SXJVFYZNUGGHRG-GDDJFQTCSA-N,卷柏
JB-034,7β-羟基谷甾醇,7 β-hydroxysitosterol,15140-59-7,430.71,C29H50O2,,甾体,CC[C@](C(C)C)([H])CC[C@@]([C@@]1([H])CC[C@@]2([H])[C@@]([C@](O)([H])C=C3C[C@](O)([H])CC[C@@]34C)([H])[C@]4([H])CC[C@]12C)([H])C,"InChI=1S/C29H50O2/c1-7-20(18(2)3)9-8-19(4)23-10-11-24-27-25(13-15-29(23,24)6)28(5)14-12-22(30)16-21(28)17-26(27)31/h17-20,22-27,30-31H,7-16H2,1-6H3/t19-,20-,22+,23-,24+,25+,26+,27+,28+,29-/m1/s1",SXJVFYZNUGGHRG-PZHNMUJHSA-N,卷柏
