编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,结构,smiles,inchi,inchikey,药材名称
DISU-097,去氢双松柏醇,Dehydrodiconiferyl alcohol,4263-87-0,358.39,C20H22O6,,酚酸,OCC1C(C2=CC(OC)=C(O)C=C2)OC3=C(OC)C=C(/C=C/CO)C=C31,"InChI=1S/C20H22O6/c1-24-17-10-13(5-6-16(17)23)19-15(11-22)14-8-12(4-3-7-21)9-18(25-2)20(14)26-19/h3-6,8-10,15,19,21-23H,7,11H2,1-2H3/b4-3+",KUSXBOZNRPQEON-ONEGZZNKSA-N,瞿麦
DISU-098,羟基二氢博伏内酯,Hydoxydihydrobovolide,124097-54-7,198.262,C11H18O3,,挥发油,CC(C(CCCCC)(O)O1)=C(C)C1=O,"InChI=1S/C11H18O3/c1-4-5-6-7-11(13)9(3)8(2)10(12)14-11/h13H,4-7H2,1-3H3",VJZWZDQDXPADSE-UHFFFAOYSA-N,瞿麦
DISU-099,叶醇,cis‑3‑Hexen‑1‑ol,928-96-1,100.161,C6H12O,,其他,CC/C=C\CCO,"InChI=1S/C6H12O/c1-2-3-4-5-6-7/h3-4,7H,2,5-6H2,1H3/b4-3-",UFLHIIWVXFIJGU-ARJAWSKDSA-N,瞿麦
DISU-100,乙苯,Ethylbenzene,100-41-4,106.168,C8H10,,其他,CCC1=CC=CC=C1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",YNQLUTRBYVCPMQ-UHFFFAOYSA-N,瞿麦
DISU-101,正己醇,1-Hexanol,111-27-3,102.177,C6H14O,,其他,OCCCCCC,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",ZSIAUFGUXNUGDI-UHFFFAOYSA-N,瞿麦
DISU-102,山梨酸,Sorbic Acid,110-44-1,112.128,C6H8O2,,其他,C/C=C/C=C/C(O)=O,"InChI=1S/C6H8O2/c1-2-3-4-5-6(7)8/h2-5H,1H3,(H,7,8)/b3-2+,5-4+",WSWCOQWTEOXDQX-MQQKCMAXSA-N,瞿麦
DISU-103,苯甲醛, Benzaldehyde,100-52-7,106.124,C7H6O,,挥发油,O=CC1=CC=CC=C1,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N,瞿麦
DISU-104,正庚醇,Heptan-1-ol,111-70-6,116.204,C7H16O,,其他,CCCCCCCO,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",BBMCTIGTTCKYKF-UHFFFAOYSA-N,瞿麦
DISU-105,1-辛烯-3-醇 ,1-Octen-3-ol,3391-86-4,128.215,C8H16O,,其他,CCCCCC(O)C=C,"InChI=1S/C8H16O/c1-3-5-6-7-8(9)4-2/h4,8-9H,2-3,5-7H2,1H3",VSMOENVRRABVKN-UHFFFAOYSA-N,瞿麦
DISU-106,6-甲基-5-庚烯-2-酮,6‑Methyl‑5‑hepten‑2‑one,110-93-0,126.199,C8H14O,,其他,C/C(C)=C/CCC(C)=O,"InChI=1S/C8H14O/c1-7(2)5-4-6-8(3)9/h5H,4,6H2,1-3H3",UHEPJGULSIKKTP-UHFFFAOYSA-N,瞿麦
DISU-107,6-甲基-5-庚烯-2-醇,6-Methyl-5-hepten-2-ol,1569-60-4,128.215,C8H16O,,其他,CC(O)CC/C=C(C)/C,"InChI=1S/C8H16O/c1-7(2)5-4-6-8(3)9/h5,8-9H,4,6H2,1-3H3",OHEFFKYYKJVVOX-UHFFFAOYSA-N,瞿麦
DISU-108,2-苯基乙醛, Phenylacetaldehyde,122-78-1,120.151,C8H8O,,挥发油,O=CCC1=CC=CC=C1,"InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5,7H,6H2",DTUQWGWMVIHBKE-UHFFFAOYSA-N,瞿麦
