编号,英文名称,化合物名称,CAS号,分子式,分子量,2D图,结构,smiles,inchi,inchikey,药材名称
LEJA-050,Caffeic acid,咖啡酸,331-39-5,180.157,C9H8O4,,苯丙素类,OC1=C(O)C=C(/C=C/C(O)=O)C=C1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,益母草
LEJA-051,,2-(hydroxymethyl)phenol,,,,,其他,OC1=C(CO)C=CC=C1,"InChI=1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9/h1-4,8-9H,5H2",CQRYARSYNCAZFO-UHFFFAOYSA-N,益母草
LEJA-052,Coniferyl  alcohol,松柏醇,458-35-5,180.2,C10H12O3,,苯丙素类,OC1=C(OC)C=C(/C=C/CO)C=C1,"InChI=1S/C10H12O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h2-5,7,11-12H,6H2,1H3/b3-2+",JMFRWRFFLBVWSI-NSCUHMNNSA-N,益母草
LEJA-053,Vanillyl     alcohol,香草醇,498-00-0,154.163,C8H10O3,,其他,OC1=C(OC)C=C(CO)C=C1,"InChI=1S/C8H10O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-4,9-10H,5H2,1H3",ZENOXNGFMSCLLL-UHFFFAOYSA-N,益母草
LEJA-054,,"4-formyl-2,6-dimethoxybenzoic  acid",84741-02-6,198.173,C9H10O5,,酚酸,COC1=C(C(O)=O)C(OC)=CC(C=O)=C1,"InChI=1S/C10H10O5/c1-14-7-3-6(5-11)4-8(15-2)9(7)10(12)13/h3-5H,1-2H3,(H,12,13)",YEPFKJMPLQCYMZ-UHFFFAOYSA-N,益母草
LEJA-055,Staphylionoside E,,/,266.089 5,C19H30O8,,糖苷类,CC1=C(/C=C/[C@@H](O)C)C(C)(C)C[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O,"InChI=1S/C19H32O8/c1-9(21)5-6-11-10(2)14(22)12(7-19(11,3)4)26-18-17(25)16(24)15(23)13(8-20)27-18/h5-6,9,12-18,20-25H,7-8H2,1-4H3/b6-5+/t9-,12-,13+,14+,15+,16-,17+,18+/m0/s1",YAYNNRVFBBEPHH-OVNIWKDCSA-N,益母草
LEJA-056,Citroside   A,柑橘苷A,120330-44-1,386.437,19H30O8,,糖苷类,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O[C@]2(C(C(C)(C)CC(O)C2)=C=CC(C)=O)C,"InChI=1S/C19H30O8/c1-10(21)5-6-13-18(2,3)7-11(22)8-19(13,4)27-17-16(25)15(24)14(23)12(9-20)26-17/h5,11-12,14-17,20,22-25H,7-9H2,1-4H3/t6?,11?,12-,14-,15+,16-,17+,19-/m1/s1",XTODSGVDHGMKSN-WVUQPCMXSA-N,益母草
LEJA-057,,"9-hydroxymegastigma-4,7-dine-3-one-9-O-β-D-glucopyranoside",,,,,其他,CC(/C=C/[C@@H](C(C)=CC1=O)C(C)(C1)C)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O,"InChI=1S/C19H30O7/c1-10-7-12(21)8-19(3,4)13(10)6-5-11(2)25-18-17(24)16(23)15(22)14(9-20)26-18/h5-7,11,13-18,20,22-24H,8-9H2,1-4H3/b6-5+/t11?,13-,14+,15+,16-,17+,18+/m0/s1",SZOPSAFLRCYJCX-OIFZIGCHSA-N,益母草
LEJA-058,Transtorine,"4-氧代-1,4-二氢喹啉-2-甲酸",13593-94-7,189.16748,C10H7NO3,,生物碱,O=C1C=C(C(O)=O)NC2=CC=CC=C21,"InChI=1S/C10H7NO3/c12-9-5-8(10(13)14)11-7-4-2-1-3-6(7)9/h1-5H,(H,11,12)(H,13,14)",HCZHHEIFKROPDY-UHFFFAOYSA-N,益母草
LEJA-059,"N,N,N-trimethyl tryptophan","N,N,N-三甲基-色氨酸",,,,,氨基酸,CC[C@@H]([N+](C)(C)C)C([O-])=O.C1(NC=C2)=C2C=CC=C1,"InChI=1S/C8H7N.C7H15NO2/c1-2-4-8-7(3-1)5-6-9-8;1-5-6(7(9)10)8(2,3)4/h1-6,9H;6H,5H2,1-4H3/t;6-/m.1/s1",LLSSYWNHVYHJFY-FCXZQVPUSA-N,益母草
