序号,类别,成分编号,中文名,英文名,CAS号,分子式MF,分子量MW,结构,参考文献,smiles,inchi,inchikey,药材名称
1,黄酮及其苷类,SZY-001,"	荭草素","Orientin
",28608-75-5,C21H20O11,448.377,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(C1=C(C([C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=C(O)C=C1O)O3)C=C3C4=CC(O)=C(O)C=C4,"InChI=1S/C21H20O11/c22-6-14-17(28)18(29)19(30)21(32-14)16-11(26)4-10(25)15-12(27)5-13(31-20(15)16)7-1-2-8(23)9(24)3-7/h1-5,14,17-19,21-26,28-30H,6H2/t14-,17-,18+,19-,21+/m1/s1",PLAPMLGJVGLZOV-VPRICQMDSA-N,山楂叶
2,黄酮及其苷类,SZY-002,异荭草素,Isoorientin,"	4261-42-1",C21H20O11,448.38,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC[C@H]1O[C@@H](C2=C(C3=C(C=C2O)OC(C4=CC(O)=C(C=C4)O)=CC3=O)O)[C@@H]([C@H]([C@@H]1O)O)O,"InChI=1S/C21H20O11/c22-6-14-17(27)19(29)20(30)21(32-14)16-11(26)5-13-15(18(16)28)10(25)4-12(31-13)7-1-2-8(23)9(24)3-7/h1-5,14,17,19-24,26-30H,6H2/t14-,17-,19+,20-,21+/m1/s1",ODBRNZZJSYPIDI-VJXVFPJBSA-N,山楂叶
3,黄酮及其苷类,SZY-003,异荭草素-2´´-O-鼠李糖苷,Isoorientin 2''-O-rhamnoside,50980-94-4,C27H30O15,594.52,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=C([C@H]2[C@H](OC3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C(O)=CC(OC(C4=CC(O)=C(C=C4)O)=C5)=C1C5=O,"InChI=1S/C27H30O15/c1-8-19(33)22(36)24(38)27(39-8)42-26-23(37)20(34)16(7-28)41-25(26)18-13(32)6-15-17(21(18)35)12(31)5-14(40-15)9-2-3-10(29)11(30)4-9/h2-6,8,16,19-20,22-30,32-38H,7H2,1H3/t8-,16+,19-,20+,22+,23-,24+,25-,26+,27?/m0/s1",IUYFTHKQEWZTHY-LQQQXCKLSA-N,山楂叶
4,黄酮及其苷类,SZY-004,芹菜素,"Apigenin
","520-36-5
","C15H10O5	",270.237,,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",O=C1C(C(O)=CC(O)=C2)=C2OC(C3=CC=C(O)C=C3)=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,山楂叶
5,黄酮及其苷类,SZY-005,"3, 4', 5, 8-四羟基黄酮-7-O-葡萄糖苷","3,4',5,8-tetrahyduoxyl-flavone-7-O-glucosyl",\,C21H20O12,464,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(O)C(OC(C3=CC=C(O)C=C3)=C4O)=C1C4=O,"InChI=1S/C21H20O12/c22-6-11-13(25)16(28)18(30)21(32-11)31-10-5-9(24)12-15(27)17(29)19(33-20(12)14(10)26)7-1-3-8(23)4-2-7/h1-5,11,13,16,18,21-26,28-30H,6H2/t11-,13-,16+,18-,21+/m1/s1",RSPZVQZNRINVPE-IWCNZLJZSA-N,山楂叶
6,黄酮及其苷类,SZY-006,"5, 4'-二羟基黄酮-7-O-鼠李糖苷芹菜素","5,4'-dihydorxl-7-O-rhamnosyl apigenin",\,C21H23O10,435.411,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=CC=C1C2=CC(C3=C(O)C=C(O[C@H]4O[C@@H](O)[C@H](O)[C@H](O)[C@H]4O)C=C3O2)=O,"InChI=1S/C20H18O10/c21-9-3-1-8(2-4-9)13-7-12(23)15-11(22)5-10(6-14(15)29-13)28-20-18(26)16(24)17(25)19(27)30-20/h1-7,16-22,24-27H/t16-,17+,18+,19+,20-/m0/s1",MTJBJCRARIQVEC-UTBUEMAESA-N,山楂叶
7,黄酮及其苷类,SZY-007,6，8-二葡萄糖芹菜素,6-C-pentosyl-8-C--pentosyl-Apigenin,\,C27H30O15,594.52,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=CC=C1C2=CC(C3=C(O)C=C(O[C@H]4O[C@@H](O)[C@H](O)[C@H](O)[C@H]4O)C=C3O2)=O,"InChI=1S/C20H18O10/c21-9-3-1-8(2-4-9)13-7-12(23)15-11(22)5-10(6-14(15)29-13)28-20-18(26)16(24)17(25)19(27)30-20/h1-7,16-22,24-27H/t16-,17+,18+,19+,20-/m0/s1",MTJBJCRARIQVEC-UTBUEMAESA-N,山楂叶
8,黄酮及其苷类,SZY-008,芹菜素-6-C-阿拉伯糖-8-C-葡萄糖苷,6-C-hexosyl-8-C-pentosyl-Apigenin,\,C26H28O14,564.5,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C(C(O)=C([C@H]2O[C@H](O)[C@H](O)[C@@H](O)C2)C(O)=C3[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)=C3OC(C5=CC=C(O)C=C5)=C1,"InChI=1S/C26H28O14/c27-7-14-19(32)22(35)23(36)25(39-14)17-21(34)16(13-6-11(30)18(31)26(37)40-13)20(33)15-10(29)5-12(38-24(15)17)8-1-3-9(28)4-2-8/h1-5,11,13-14,18-19,22-23,25-28,30-37H,6-7H2/t11-,13-,14+,18+,19+,22-,23+,25+,26-/m0/s1",IBPSANIEPQNYBB-DTBZVLMWSA-N,山楂叶
9,黄酮及其苷类,SZY-009,芹菜素-6-C-葡萄糖-8-C-阿拉伯糖苷,6-C-pentosyl-8-C-hexosyl-Apigenin,\,C26H28O14,564.5,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C(C(O)=C([C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)=C3[C@H]4O[C@H](O)[C@H](O)[C@@H](O)C4)=C3OC(C5=CC=C(O)C=C5)=C1,"InChI=1S/C26H28O14/c27-7-14-19(32)22(35)23(36)25(39-14)17-20(33)15-10(29)5-12(8-1-3-9(28)4-2-8)38-24(15)16(21(17)34)13-6-11(30)18(31)26(37)40-13/h1-5,11,13-14,18-19,22-23,25-28,30-37H,6-7H2/t11-,13-,14+,18+,19+,22-,23+,25+,26-/m0/s1",QJEAUOVQZVYCBQ-DTBZVLMWSA-N,山楂叶
10,黄酮及其苷类,SZY-010,芹菜素-8-C-葡萄糖鼠李糖苷,8-C-glucosyl-rhamnosl apigenin,\,C28H32O13,576.55,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C(C(O)=CC(O)=C2[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]4C[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)=C2OC(C5=CC=C(O)C=C5)=C1,"InChI=1S/C28H32O13/c1-10-6-17(22(35)24(37)21(10)34)40-28-25(38)23(36)18(9-29)41-27(28)20-14(32)7-13(31)19-15(33)8-16(39-26(19)20)11-2-4-12(30)5-3-11/h2-5,7-8,10,17-18,21-25,27-32,34-38H,6,9H2,1H3/t10-,17+,18-,21+,22+,23-,24-,25+,27-,28-/m1/s1",ALHVQGHLJVWKAG-DJGSNPDASA-N,山楂叶
11,黄酮及其苷类,SZY-011,,Catiguanin B,1001609-88-6,C25H22O10,"	482.44",,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",OC(C(O)=C1)=CC2=C1OC(C=C(O)C3=C4O[C@H](C5=CC=C(O)C(O)=C5)[C@H](O)C3)=C4[C@H]2CC(OC)=O,"InChI=1S/C25H22O10/c1-33-22(32)7-12-11-5-17(29)18(30)9-20(11)34-21-8-15(27)13-6-19(31)24(35-25(13)23(12)21)10-2-3-14(26)16(28)4-10/h2-5,8-9,12,19,24,26-31H,6-7H2,1H3/t12-,19+,24+/m0/s1",XECJBJHITROSPL-WSONZKGWSA-N,山楂叶
12,黄酮及其苷类,SZY-012,,pinnatifinoside A,\,C21H18O9  ,414.4,,[1] Flavonoid ketohexosefuranosides from the leaves of Crataegus pinnatifida Bge. var. major N.E.Br.,O=C1C2=C(O)C=C3C(C[C@@]4(O[C@]([H])(CO)[C@@]([H])(O)[C@@]4(O)[H])O3)=C2OC(C5=CC=C(O)C=C5)=C1,"InChI=1S/C21H18O9/c22-8-16-18(26)20(27)21(30-16)7-11-15(29-21)6-13(25)17-12(24)5-14(28-19(11)17)9-1-3-10(23)4-2-9/h1-6,16,18,20,22-23,25-27H,7-8H2/t16?,18-,20+,21+/m1/s1",DIURSMXCAHQJJE-ZSZNTALQSA-N,山楂叶
13,黄酮及其苷类,SZY-013,,pinnatifinoside B,\,C20H15O8,383.33,,[1] Flavonoid ketohexosefuranosides from the leaves of Crataegus pinnatifida Bge. var. major N.E.Br.,O=C1C2=C(O)C=C3C(C[C@@]4(O[C@]([H])([CH2OAcetyl])[C@@]([H])(O)[C@@]4(O)[H])O3)=C2OC(C5=CC=C(O)C=C5)=C1,,,山楂叶
14,黄酮及其苷类,SZY-014,,pinnatifinoside C,\,C20H15O8,383.33,,[1] Flavonoid ketohexosefuranosides from the leaves of Crataegus pinnatifida Bge. var. major N.E.Br.,O=C1C2=C(O)C=C3C(C[C@@]4(O[C@]([H])([CH2OAcetyl])[C@@]([H])(O)[C@@]4([H])O)O3)=C2OC(C5=CC=C(O)C=C5)=C1,,,山楂叶
15,黄酮及其苷类,SZY-015,,pinnatifinoside D,\,C20H15O8,383.33,,[1] Flavonoid ketohexosefuranosides from the leaves of Crataegus pinnatifida Bge. var. major N.E.Br.,O=C1C2=C(O)C=C3C(C[C@@]4(O[C@]([H])(O)[C@@]([H])([AcetylOH2C])[C@@]4(O)[H])O3)=C2OC(C5=CC=C(O)C=C5)=C1,,,山楂叶
16,黄酮及其苷类,SZY-016,,pinnatifinoside I,\,C21H17O8,397.36,,[1] Flavonoid ketohexosefuranosides from the leaves of Crataegus pinnatifida Bge. var. major N.E.Br.,O=C1C2=C(O)C=C3C(C[C@@]4([C@](O)([H])[C@]([H])([Acetyl])[C@@]([H])(CO)O4)O3)=C2OC(C5=CC=C(O)C=C5)=C1,,,山楂叶
17,黄酮及其苷类,SZY-017,儿茶素,(+)-catechin,18829-70-4,C15H14O6,290.268,,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",O[C@H]1[C@H](C2=CC(O)=C(O)C=C2)OC3=C(C(O)=CC(O)=C3)C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1",PFTAWBLQPZVEMU-HIFRSBDPSA-N,山楂叶
18,黄酮及其苷类,SZY-018,表儿茶素,(-)-epicatechin,35323-91-2,C15H14O6,290.27,,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",O[C@@H]1[C@H](C2=CC(O)=C(O)C=C2)OC3=C(C(O)=CC(O)=C3)C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m0/s1",PFTAWBLQPZVEMU-ZFWWWQNUSA-N,山楂叶
19,黄酮及其苷类,SZY-019,草质素,herbacetin,527-95-7,C15H10O7,302.236,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=C(O)C2=C(C(C(O)=C(C3=CC=C(O)C=C3)O2)=O)C(O)=C1,"InChI=1S/C15H10O7/c16-7-3-1-6(2-4-7)14-13(21)12(20)10-8(17)5-9(18)11(19)15(10)22-14/h1-5,16-19,21H",ZDOTZEDNGNPOEW-UHFFFAOYSA-N,山楂叶
20,黄酮及其苷类,SZY-020,大波斯菊苷,Cosmosiin,578-74-5,"C21H20O10	",432.378,,"[3]许正斌,高奎斌,许双贵.山楂叶综述[J].中医药学报,1985,(04):49-51.",O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(OC4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O)=C3,"InChI=1S/C21H20O10/c22-8-16-18(26)19(27)20(28)21(31-16)29-11-5-12(24)17-13(25)7-14(30-15(17)6-11)9-1-3-10(23)4-2-9/h1-7,16,18-24,26-28H,8H2/t16-,18-,19+,20-,21?/m1/s1",KMOUJOKENFFTPU-MKJMBMEGSA-N,山楂叶
21,黄酮及其苷类,SZY-021,缔纹天竺素,Pelargonidin,7690-51-9,C15H11O5,271.245,,"[3]许正斌,高奎斌,许双贵.山楂叶综述[J].中医药学报,1985,(04):49-51.",OC1=C2C([O+]=C(C3=CC=C(O)C=C3)C(O)=C2)=CC(O)=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)15-13(19)7-11-12(18)5-10(17)6-14(11)20-15/h1-7H,(H3-,16,17,18,19)/p+1",XVFMGWDSJLBXDZ-UHFFFAOYSA-O,山楂叶
22,黄酮及其苷类,SZY-022,根皮素,Phloretin,60-82-2,"C15H14O5	",274.269,,"[4] Lin Y P,Hsu F L,Chen C S,et al.Constituents from the Formosan apple reduce tyrosinase activity in human epidermal melanocytes[J].Phytochemistry,2007,68(8):1189-1199.",OC1=CC=C(CCC(C2=C(O)C=C(O)C=C2O)=O)C=C1,"InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2",VGEREEWJJVICBM-UHFFFAOYSA-N,山楂叶
23,黄酮及其苷类,SZY-023,槲皮素,Quercetin,117-39-5,C15H10O7,302.236,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC(C(O2)=C(O)C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,山楂叶
24,黄酮及其苷类,SZY-024,槲皮素-3-O-阿拉伯糖苷,3-O-arabinosyl quercetin,"	22255-13-6",C20H18O11,"	434.35",,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",O=C1C(O[C@H]2[C@@H]([C@H]([C@H](CO2)O)O)O)=C(C3=CC=C(O)C(O)=C3)OC4=CC(O)=CC(O)=C14,"InChI=1S/C20H18O11/c21-8-4-11(24)14-13(5-8)30-18(7-1-2-9(22)10(23)3-7)19(16(14)27)31-20-17(28)15(26)12(25)6-29-20/h1-5,12,15,17,20-26,28H,6H2/t12-,15-,17+,20-/m0/s1",PZZRDJXEMZMZFD-IEGSVRCHSA-N,山楂叶
25,黄酮及其苷类,SZY-025,槲皮素-3-O-β-D-吡喃葡萄糖苷,3-O-β -D-glucosylquercetin,\,C21H20O12,464.376,,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",OC1=CC(C(O2)=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)C3)C(C4=C2C=C(O)C=C4O)=O)=CC=C1O,"InChI=1S/C21H20O11/c22-7-15-18(28)13(27)6-16(30-15)32-21-19(29)17-12(26)4-9(23)5-14(17)31-20(21)8-1-2-10(24)11(25)3-8/h1-5,13,15-16,18,22-28H,6-7H2/t13-,15-,16+,18+/m1/s1",YGTBDEUZLAQYEN-KBEGMRNHSA-N,山楂叶
26,黄酮及其苷类,SZY-026,槲皮素-3-O-β-D-吡喃半乳糖苷,3-O-β-D-galactopyranosylquercetin,\,C21H20O12,464.376,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC(C(O2)=C(O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)C3)C(C4=C2C=C(O)C=C4O)=O)=CC=C1O,"InChI=1S/C21H20O11/c22-7-15-18(28)13(27)6-16(30-15)32-21-19(29)17-12(26)4-9(23)5-14(17)31-20(21)8-1-2-10(24)11(25)3-8/h1-5,13,15-16,18,22-28H,6-7H2/t13-,15-,16+,18-/m1/s1",YGTBDEUZLAQYEN-NYCLONFESA-N,山楂叶
27,黄酮及其苷类,SZY-027,槲皮素-4´-O-葡萄糖苷,Quercetin-4'-O-glucoside,\,C21H20O12,464.3763,,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",OC1=CC(C(O2)=C(O)C(C3=C2C=C(O)C=C3O)=O)=CC=C1OC4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O,"InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)32-11-2-1-7(3-9(11)24)20-18(29)16(27)14-10(25)4-8(23)5-12(14)31-20/h1-5,13,15,17,19,21-26,28-30H,6H2/t13-,15-,17+,19-,21?/m1/s1",OIUBYZLTFSLSBY-CXWQUDHASA-N,山楂叶
28,黄酮及其苷类,SZY-028,芦丁,"Rutin  	",153-18-4,C27H30O16,610.518,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C(O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](CO[C@H]3[C@@H]([C@@H]([C@H]([C@H](C)O3)O)O)O)O2)O)O)O)=C(C4=CC=C(O)C(O)=C4)OC5=CC(O)=CC(O)=C15,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1",IKGXIBQEEMLURG-NVPNHPEKSA-N,山楂叶
29,黄酮及其苷类,SZY-029,(+)-二氢槲皮素,(+)-taxifolin,480-18-2,C15H12O7,304.25,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC([C@@]2([H])OC3=C(C([C@]2([H])O)=O)C(O)=CC(O)=C3)=CC=C1O,"InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H/t14-,15+/m0/s1",CXQWRCVTCMQVQX-LSDHHAIUSA-N,山楂叶
30,黄酮及其苷类,SZY-030,(+)-二氢槲皮素-3-O-阿拉伯吡喃糖苷,(+)-taxifolin-3-O-arabinopyranoside,219808-20-5,C20H20O11,436.37,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC([C@@]2([H])OC3=C(C([C@]2([H])[O-Ara])=O)C(O)=CC(O)=C3)=CC=C1O,,,山楂叶
31,黄酮及其苷类,SZY-031,(+)-二氢槲皮素-3-O-木吡喃糖苷,(+)-taxifolin-3-O-xylopyranoside,40672-47-7,C20H20O11,436.37,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC([C@@]2([H])OC3=C(C([C@]2([H])OC4=C(C)C=CC=C4C)=O)C(O)=CC(O)=C3)=CC=C1O,"InChI=1S/C23H20O7/c1-11-4-3-5-12(2)21(11)30-23-20(28)19-17(27)9-14(24)10-18(19)29-22(23)13-6-7-15(25)16(26)8-13/h3-10,22-27H,1-2H3/t22-,23?/m1/s1",MCTPPECEZHIQRN-WTQRLHSKSA-N,山楂叶
32,黄酮及其苷类,SZY-032,异槲皮苷,isoquercitrin,482-35-9,C21H20O12,464.376,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(C1=C(O)C=C(O)C=C1O2)C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)O3)=C2C5=CC(O)=C(O)C=C5,"InChI=1S/C27H30O17/c28-6-14-17(33)20(36)22(38)26(42-14)40-7-15-18(34)21(37)23(39)27(43-15)44-25-19(35)16-12(32)4-9(29)5-13(16)41-24(25)8-1-2-10(30)11(31)3-8/h1-5,14-15,17-18,20-23,26-34,36-39H,6-7H2/t14-,15-,17-,18-,20+,21+,22-,23-,26-,27+/m1/s1",FDRQPMVGJOQVTL-DEFKTLOSSA-N,山楂叶
33,黄酮及其苷类,SZY-033,生物槲皮素,bioquercetin,20364-84-5,C27H30O16,610.518,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC(O)=C(C2=O)C(OC(C3=CC(O)=C(O)C=C3)=C2O[C@H]4[C@@H](O)[C@H](O)C([C@H](O)CO[C@H]5C[C@H](C)[C@@H](O)[C@H](O)[C@@H]5O)C4)=C1,"InChI=1S/C29H34O14/c1-10-4-19(24(37)27(40)22(10)35)41-9-17(34)13-8-20(25(38)23(13)36)43-29-26(39)21-16(33)6-12(30)7-18(21)42-28(29)11-2-3-14(31)15(32)5-11/h2-3,5-7,10,13,17,19-20,22-25,27,30-38,40H,4,8-9H2,1H3/t10-,13?,17+,19-,20+,22+,23+,24+,25+,27-/m0/s1",ZXGKBPJEHQTWMV-AHXJULMPSA-N,山楂叶
34,黄酮及其苷类,SZY-034,金丝桃苷,Hyperoside,"482-36-0	",C21H20O12,464.376,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C(O[C@H]2[C@@H]([C@H]([C@H]([C@@H](CO)O2)O)O)O)=C(C3=CC=C(O)C(O)=C3)OC4=CC(O)=CC(O)=C14,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15+,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-DTGCRPNFSA-N,山楂叶
35,黄酮及其苷类,SZY-035,牡荆素,vitexin,"
3681-93-4
	",C21H20O10,432.378,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3C4[C@@H]([C@H]([C@@H]([C@@H](CO)O4)O)O)O,"InChI=1S/C21H20O10/c22-7-14-17(27)18(28)19(29)21(31-14)16-11(25)5-10(24)15-12(26)6-13(30-20(15)16)8-1-3-9(23)4-2-8/h1-6,14,17-19,21-25,27-29H,7H2/t14-,17-,18+,19-,21?/m1/s1",SGEWCQFRYRRZDC-YWFAZRBLSA-N,山楂叶
36,黄酮及其苷类,SZY-036,异牡荆素,iso-vitexin,29702-25-8,"C21H20O10	",432.378,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=C(C4[C@@H](O)[C@H](O)[C@@H](O)[C@H](CO)O4)C(O)=C3,"InChI=1S/C21H20O10/c22-7-14-17(26)19(28)20(29)21(31-14)16-11(25)6-13-15(18(16)27)10(24)5-12(30-13)8-1-3-9(23)4-2-8/h1-6,14,17,19-23,25-29H,7H2/t14-,17-,19+,20-,21?/m0/s1",MYXNWGACZJSMBT-QNRQMSCASA-N,山楂叶
37,黄酮及其苷类,SZY-037,牡荆素-4″-O-葡萄糖苷,vitexin-4''-O-glucoside,178468-00-3,C27H30O15,594.518,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O,"InChI=1S/C27H30O15/c28-7-15-19(34)20(35)23(38)27(41-15)42-24-16(8-29)40-26(22(37)21(24)36)18-12(32)5-11(31)17-13(33)6-14(39-25(17)18)9-1-3-10(30)4-2-9/h1-6,15-16,19-24,26-32,34-38H,7-8H2/t15-,16-,19-,20+,21-,22-,23-,24-,26+,27+/m1/s1",NDSUKTASTPEKBX-LXXMDOISSA-N,山楂叶
38,黄酮及其苷类,SZY-038,牡荆素葡萄糖苷,Vitexia-glucoside,76135-82-5,C27H30O15,594.518,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](OC3=C4C(C(C=C(C5=CC=C(O)C=C5)O4)=O)=C(O)C=C3O)O[C@@H]2CO)O[C@H](CO)[C@H]1O,"InChI=1S/C27H30O16/c28-7-15-18(34)19(35)21(37)26(40-15)43-24-16(8-29)41-27(22(38)20(24)36)42-23-13(33)5-11(31)17-12(32)6-14(39-25(17)23)9-1-3-10(30)4-2-9/h1-6,15-16,18-22,24,26-31,33-38H,7-8H2/t15-,16-,18-,19+,20-,21-,22-,24-,26-,27+/m1/s1",VPKYZCBBFYNIMY-YGKRYCCVSA-N,山楂叶
39,黄酮及其苷类,SZY-039,牡荆素鼠李糖苷,Vitexin-rhamnoside ,64820-99-1,C27H30O14,578.519,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C=C(C2=C(O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)C=C(O)C=C2)OC4=C1C(O)=CC(O)=C4C5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O,"InChI=1S/C27H30O15/c1-8-19(33)21(35)24(38)27(39-8)42-14-4-9(29)2-3-10(14)15-6-13(32)17-11(30)5-12(31)18(25(17)40-15)26-23(37)22(36)20(34)16(7-28)41-26/h2-6,8,16,19-24,26-31,33-38H,7H2,1H3/t8-,16+,19-,20+,21+,22-,23+,24+,26?,27-/m0/s1",YEPCEKWBBDGVSS-DURPTWPCSA-N,山楂叶
40,黄酮及其苷类,SZY-040,异牡荆素-2″-O-鼠李糖苷,isovitexin-2''-O-rhamnoside,72036-50-1,C27H30O14,578.519,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@H]1[C@H](O)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C3=C(O)C(C(C=C(C4=CC=C(O)C=C4)O5)=O)=C5C=C3O)O[C@@H]1CO,"InChI=1S/C27H30O14/c1-9-19(32)22(35)24(37)27(38-9)41-26-23(36)20(33)16(8-28)40-25(26)18-13(31)7-15-17(21(18)34)12(30)6-14(39-15)10-2-4-11(29)5-3-10/h2-7,9,16,19-20,22-29,31-37H,8H2,1H3/t9-,16+,19-,20+,22+,23-,24+,25-,26+,27-/m0/s1",BGPMMCPSTAYIEL-UTKQBPCESA-N,山楂叶
