编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
XYL-021,原儿茶酸,Protocatechuic acid,99-50-3,"	154.12",C7H6O4,,酚酸类,OC1=CC(C(O)=O)=CC=C1O,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,小叶莲
XYL-022,β-谷甾醇,"	beta-Sitosterol",83-46-5,414.72,"	C29H50O",,甾体类,C[C@@]1([C@]([C@@H](CC[C@@H](C(C)C)CC)C)([H])CC2)[C@]2([H])[C@@](CC=C3[C@@]4(CC[C@H](O)C3)C)([H])[C@]4([H])CC1,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21+,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-FBZNIEFRSA-N,小叶莲
XYL-023,胡萝卜苷,Daucosterol,474-58-8,576.8,"	
C35H60O6",,糖苷类,O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@@H]2CC3=CC[C@]([C@@](CC[C@]4([H])[C@@H](CC[C@H](CC)C(C)C)C)([H])[C@]4(C)CC5)([H])[C@@]5([H])[C@@]3(C)CC2)[C@@H]1O,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22+,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-VPFCYKORSA-N,小叶莲
XYL-024,5-羟甲基糠醛,5-Hydroxymethylfurfural,"	67-47-0",126.11,C6H6O3,,其他类,O=CC1=CC=C(CO)O1,"InChI=1S/C6H6O3/c7-3-5-1-2-6(4-8)9-5/h1-3,8H,4H2",NOEGNKMFWQHSLB-UHFFFAOYSA-N,小叶莲
XYL-025,α-棕榈酸甘油酯,Glycerol monopalmitate,542-44-9,330.5,C19H38O4,,其他类,OC(CO)COC(CCCCCCCCCCCCCCC)=O,"InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3",QHZLMUACJMDIAE-UHFFFAOYSA-N,小叶莲
XYL-026,去氢鬼臼毒素,Tetradehydropodophyllotoxin,42123-27-3,410.37,C22H18O8,,苯丙素类,COC1=CC(C2=C3C(OCC3=C(C4=CC5=C(C=C24)OCO5)O)=O)=CC(OC)=C1OC,"InChI=1S/C22H18O8/c1-25-16-4-10(5-17(26-2)21(16)27-3)18-11-6-14-15(30-9-29-14)7-12(11)20(23)13-8-28-22(24)19(13)18/h4-7,23H,8-9H2,1-3H3",HSSDVCMYTACNSM-UHFFFAOYSA-N,小叶莲
XYL-027, （－) 松脂酚,Pinoresinol,"	487-36-5",358.39,"	C20H22O6",,苯丙素类,[H][C@@]1([C@@H](C2=CC(OC)=C(O)C=C2)OC3)[C@@]3([H])[C@@H](C4=CC=C(O)C(OC)=C4)OC1,"InChI=1S/C20H22O6/c1-23-17-7-11(3-5-15(17)21)19-13-9-26-20(14(13)10-25-19)12-4-6-16(22)18(8-12)24-2/h3-8,13-14,19-22H,9-10H2,1-2H3/t13-,14-,19+,20+/m0/s1",HGXBRUKMWQGOIE-AFHBHXEDSA-N,小叶莲
XYL-028,"6,7-去亚甲基-4'-去甲鬼臼毒素","6,7-demethylene-4'-demethylpodophyllotoxin",138456-90-3,388.36,C20H20O8,,苯丙素类,O=C1OC[C@@]2([H])[C@@]1([H])[C@H](C3=CC(OC)=C(O)C(OC)=C3)C4=C(C=C(O)C(O)=C4)[C@@H]2O,"InChI=1S/C20H20O8/c1-26-14-3-8(4-15(27-2)19(14)24)16-9-5-12(21)13(22)6-10(9)18(23)11-7-28-20(25)17(11)16/h3-6,11,16-18,21-24H,7H2,1-2H3/t11-,16+,17-,18-/m0/s1",SMPCOLOECPREKW-MJQACMKBSA-N,小叶莲
XYL-029,"6,7-去亚甲基-去氧鬼臼毒素","6,7-demethylene-deoxypodophyllotoxin",1173-42-8,"	386.4","	C21H22O7",,苯丙素类,O=C1OC[C@@]2([H])[C@@]1([H])[C@H](C3=CC(OC)=C(OC)C(OC)=C3)C4=C(C=C(O)C(O)=C4)C2,"InChI=1S/C21H22O7/c1-25-16-6-11(7-17(26-2)20(16)27-3)18-13-8-15(23)14(22)5-10(13)4-12-9-28-21(24)19(12)18/h5-8,12,18-19,22-23H,4,9H2,1-3H3/t12-,18+,19-/m0/s1",RINWQCSDWSZGDJ-RQUSPXKASA-N,小叶莲
XYL-030,4'-去甲-去氢鬼臼毒素,4'-demethyl-dehydropodophyllotoxin,117669-31-5,396.3,C21H16O8,,苯丙素类,O=C1OCC(C1=C(C(C=C2OC)=CC(OC)=C2O[H])C(C3=C4)=CC5=C4OCO5)=C3O[H],"InChI=1S/C21H16O8/c1-25-15-3-9(4-16(26-2)20(15)23)17-10-5-13-14(29-8-28-13)6-11(10)19(22)12-7-27-21(24)18(12)17/h3-6,22-23H,7-8H2,1-2H3",BBMUNWUDCBRTKC-UHFFFAOYSA-N,小叶莲
XYL-031,4'-去甲苦鬼臼毒素,4'-Demethylpicropodophyllin,112066-16-7,"	
400.4","	
C21H20O8",,苯丙素类,O=C1OC[C@@]([C@H](C2=C3)O[H])([H])[C@]1([H])[C@H](C(C=C4OC)=CC(OC)=C4O[H])C2=CC5=C3OCO5,"InChI=1S/C21H20O8/c1-25-15-3-9(4-16(26-2)20(15)23)17-10-5-13-14(29-8-28-13)6-11(10)19(22)12-7-27-21(24)18(12)17/h3-6,12,17-19,22-23H,7-8H2,1-2H3/t12-,17+,18+,19-/m0/s1",YVCVYCSAAZQOJI-FTNBBQJZSA-N,小叶莲
XYL-032,黄宝石羽扇豆素,topazolin,"	109605-79-0",368.39,C21H20O6,,黄酮类,C/C(C)=C\CC1=C(O)C=C2C(C(C(OC)=C(C3=CC=C(O)C=C3)O2)=O)=C1O,"InChI=1S/C21H20O6/c1-11(2)4-9-14-15(23)10-16-17(18(14)24)19(25)21(26-3)20(27-16)12-5-7-13(22)8-6-12/h4-8,10,22-24H,9H2,1-3H3",VVXGFIWLFZMBCJ-UHFFFAOYSA-N,小叶莲
XYL-033,"8,2'-二异戊烯基槲皮素-3-甲醚","8,2′ -diprenylquercetin-3-methyl ether",,452.18,C26H28O7,,黄酮类,O=C1C(OC)=C(C2=CC=C(O)C(O)=C2C/C=C(C)\C)OC3=C1C(O)=CC(O)=C3C/C=C(C)\C,"InChI=1S/C26H28O7/c1-13(2)6-8-15-16(10-11-18(27)22(15)30)25-26(32-5)23(31)21-20(29)12-19(28)17(24(21)33-25)9-7-14(3)4/h6-7,10-12,27-30H,8-9H2,1-5H3",NHEIAQXGXMZLQZ-UHFFFAOYSA-N,小叶莲
