编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,,,,
CX-039,,Chuanxiongdiolide R1,C25H30O5,410.5100 ,1613723-48-0,,其他,CCCCC([C@]12[C@@]3([C@H]([C@](CC2)([H])C=C1C(OC)=O)CCC)C4=CC=CC=C4C(O3)=O)=O,"InChI=1S/C25H30O5/c1-4-6-12-21(26)24-14-13-16(15-20(24)23(28)29-3)18(9-5-2)25(24)19-11-8-7-10-17(19)22(27)30-25/h7-8,10-11,15-16,18H,4-6,9,12-14H2,1-3H3/t16-,18-,24+,25+/m0/s1",UEOQSTYKYFTKDQ-PWPZIBODSA-N,川芎
CX-040,洋川芎内酯B,Senkyunolide B,C12H12O3,204.2250 ,93236-67-0,,其他,CCC/C=C1C2=CC=CC(O)=C2C(O/1)=O,"InChI=1S/C12H12O3/c1-2-3-7-10-8-5-4-6-9(13)11(8)12(14)15-10/h4-7,13H,2-3H2,1H3/b10-7-",XLFDJKJEYMKLJX-YFHOEESVSA-N,川芎
CX-041,洋川芎内酯C,Senkyunolide C,C12H12O3,204.2250 ,91652-78-7,,其他,CCC/C=C1C2=CC(O)=CC=C2C(O/1)=O,"InChI=1S/C12H12O3/c1-2-3-4-11-10-7-8(13)5-6-9(10)12(14)15-11/h4-7,13H,2-3H2,1H3/b11-4-",NRENRLOUWSVYIA-WCIBSUBMSA-N,川芎
CX-042,洋川芎内酯M,Senkyunolide M,C16H22O4,278.3480 ,114569-34-5,,其他,CCC/C=C1C2=C(C(O/1)=O)[C@@H]([C@H](CC2)C(CCC)=O)O,"InChI=1S/C16H22O4/c1-3-5-7-13-11-9-8-10(12(17)6-4-2)15(18)14(11)16(19)20-13/h7,10,15,18H,3-6,8-9H2,1-2H3/b13-7-/t10-,15-/m1/s1",RWIPTYNGENPFSY-HQQQLJABSA-N,川芎
CX-043,,Ligusticoside A,C18H28O8,372.4140 ,1246676-50-5,,萜类,CCCCC[C@]1([C@]2([H])OC([C@@]1([H])C=CC2)=O)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO,"InChI=1S/C18H28O8/c1-2-3-4-8-18(10-6-5-7-12(18)25-16(10)23)26-17-15(22)14(21)13(20)11(9-19)24-17/h5-6,10-15,17,19-22H,2-4,7-9H2,1H3/t10-,11-,12-,13-,14+,15-,17+,18+/m1/s1",WJTHOZPRHXIPMJ-KLURIUIOSA-N,川芎
CX-044,,Ligusticumolide B,C12H18O4,226.2720 ,2326454-52-6,,萜类,CCCC[C@@]1(C2=C([C@@H](CCC2)O)C(O1)=O)O,"InChI=1S/C12H18O4/c1-2-3-7-12(15)8-5-4-6-9(13)10(8)11(14)16-12/h9,13,15H,2-7H2,1H3/t9-,12-/m1/s1",GDEUYNAHOLLKQK-BXKDBHETSA-N,川芎
CX-045,,Ligusticumolide C,C14H20O5,268.3090 ,2326454-55-9,,萜类,CC(O[C@H]1C2=C(CC[C@@H]1O)[C@H](OC2=O)CCCC)=O,"InChI=1S/C14H20O5/c1-3-4-5-11-9-6-7-10(16)13(18-8(2)15)12(9)14(17)19-11/h10-11,13,16H,3-7H2,1-2H3/t10-,11+,13+/m0/s1",VQAUYWRNKQLODC-DMDPSCGWSA-N,川芎
CX-046,,Ligusticumolide D,C14H20O5,268.3090 ,2326454-59-3,,萜类,CC(O[C@@H]1C2=C(CC[C@@H]1O)[C@@H](OC2=O)CCCC)=O,"InChI=1S/C14H20O5/c1-3-4-5-11-9-6-7-10(16)13(18-8(2)15)12(9)14(17)19-11/h10-11,13,16H,3-7H2,1-2H3/t10-,11-,13-/m0/s1",VQAUYWRNKQLODC-GVXVVHGQSA-N,川芎
CX-047,,Ligusticumolide E,C12H12O4,220.2240 ,2326454-62-8,,萜类,C[C@H](O)C/C=C1C2=CC(O)=CC=C2C(O/1)=O,"InChI=1S/C12H12O4/c1-7(13)2-5-11-10-6-8(14)3-4-9(10)12(15)16-11/h3-7,13-14H,2H2,1H3/b11-5-/t7-/m0/s1",UDOKZLMHUXNUIH-SYFUPATCSA-N,川芎
CX-048,,Ligusticumolide F,C12H12O4,220.2240 ,2326454-66-2,,萜类,C[C@@H](O)C/C=C1C2=CC=CC(O)=C2C(O/1)=O,"InChI=1S/C12H12O4/c1-7(13)5-6-10-8-3-2-4-9(14)11(8)12(15)16-10/h2-4,6-7,13-14H,5H2,1H3/b10-6-/t7-/m1/s1",VWWYHIMRUZUPLL-LWYMYGMPSA-N,川芎
CX-049,,Ligusticumolide G,C12H18O4,226.2720 ,2326454-69-5,,萜类,CCCCC([C@@H]1C(C(O)=O)=C[C@H](CC1)O)=O,"InChI=1S/C12H18O4/c1-2-3-4-11(14)9-6-5-8(13)7-10(9)12(15)16/h7-9,13H,2-6H2,1H3,(H,15,16)/t8-,9-/m0/s1",WHINYWAWPZTARE-IUCAKERBSA-N,川芎
CX-050,,Ligubenzocycloheptanone A,C15H12O8,320.2530 ,2193066-02-1,,其他,OC([C@H]([C@@]1([H])[C@@]2([H])C(C(O1)=O)=CC3=CC=C(O)C(O)=C3C(C2)=O)O)=O,"InChI=1S/C15H12O8/c16-8-2-1-5-3-7-6(4-9(17)10(5)11(8)18)13(23-15(7)22)12(19)14(20)21/h1-3,6,12-13,16,18-19H,4H2,(H,20,21)/t6-,12+,13-/m1/s1",QJFZGBKGPFURBJ-UAMTVZLOSA-N,川芎
