编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
YHS-034,左旋四氢小檗碱,Tetrahydroberberine,522-97-4,339.385,C20H21NO4,,生物碱类,COC1=C(OC)C(CN(CCC2=CC(OCO3)=C3C=C24)C4C5)=C5C=C1,"InChI=1S/C20H21NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,8-9,16H,5-7,10-11H2,1-2H3",VZTUIEROBZXUFA-UHFFFAOYSA-N,化橘红
YHS-035,元胡宁,Yuanhunine,104387-15-7,355.428,C21H25NO4,,生物碱类,COC1=C(OC)C=C2C3C(C)C4=CC=C(O)C(OC)=C4CN3CCC2=C1,"InChI=1S/C21H25NO4/c1-12-14-5-6-17(23)21(26-4)16(14)11-22-8-7-13-9-18(24-2)19(25-3)10-15(13)20(12)22/h5-6,9-10,12,20,23H,7-8,11H2,1-4H3",PVYYNJAXBCIMNG-UHFFFAOYSA-N,化橘红
YHS-036,别隐品碱,Cryptopine,482-74-6,369.411,C21H23NO5,,生物碱类,O=C1C2=CC(OC)=C(OC)C=C2CCN(C)CC3=C(C=C(OCO4)C4=C3)C1,"InChI=1S/C21H23NO5/c1-22-5-4-13-7-18(24-2)19(25-3)10-16(13)17(23)6-14-8-20-21(27-12-26-20)9-15(14)11-22/h7-10H,4-6,11-12H2,1-3H3",LKWIHAPCSFPLJZ-UHFFFAOYSA-N,化橘红
YHS-037,右旋海罂粟碱,Glaucine,475-81-0,355.427,C21H25NO4,,生物碱类,CN1C2C(C(C(C=C(OC)C(OC)=C3)=C3C2)=C(OC)C(OC)=C4)=C4CC1,"InChI=1S/C21H25NO4/c1-22-7-6-12-9-18(25-4)21(26-5)20-14-11-17(24-3)16(23-2)10-13(14)8-15(22)19(12)20/h9-11,15H,6-8H2,1-5H3",RUZIUYOSRDWYQF-UHFFFAOYSA-N,化橘红
YHS-038,去氢南天宁碱,Dehydronantenine,55898-15-2,337.369,C20H19NO4,,生物碱类,COC(C=C1CCN2C)=C(OC)C3=C1C2=CC4=CC(OCO5)=C5C=C43,"InChI=1S/C20H19NO4/c1-21-5-4-11-7-17(22-2)20(23-3)19-13-9-16-15(24-10-25-16)8-12(13)6-14(21)18(11)19/h6-9H,4-5,10H2,1-3H3",WJGFWJOXVNVISL-UHFFFAOYSA-N,化橘红
YHS-039,二氢血根碱,Dihydrosanguinarine,3606-45-9,333.337,C20H15NO4,,生物碱类,CN1CC2=C(C=CC3=C2OCO3)C4=C1C5=CC(OCO6)=C6C=C5C=C4,"InChI=1S/C20H15NO4/c1-21-8-15-12(4-5-16-20(15)25-10-22-16)13-3-2-11-6-17-18(24-9-23-17)7-14(11)19(13)21/h2-7H,8-10H2,1H3",CIUHLXZTZWTVFL-UHFFFAOYSA-N,化橘红
YHS-040,比枯枯灵碱,Bicuculline,19730-80-4,367.352,C20H17NO6,,生物碱类,O=C1OC(C2N(C)CCC3=C2C=C4C(OCO4)=C3)C5=C1C=C(OCO6)C6=C5,"InChI=1S/C20H17NO6/c1-21-3-2-10-4-14-15(24-8-23-14)5-11(10)18(21)19-12-6-16-17(26-9-25-16)7-13(12)20(22)27-19/h4-7,18-19H,2-3,8-9H2,1H3",GDFCROCCWCFYQI-UHFFFAOYSA-N,化橘红
YHS-041,谷甾醇,Sitosterol,83-46-5,414.707,C29H50O,,甾体类,CC(C)C(CC)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3",KZJWDPNRJALLNS-UHFFFAOYSA-N,化橘红
YHS-042,亚油酸,Linoleic Acid,2197-37-7,280.445,C18H32O2,,酚酸类,CCCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,化橘红
YHS-043,延胡索酸,Fumarate,142-42-7,114.056,C4H2O4,,酚酸类,OC(/C=C/C(O)=O)=O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+",VZCYOOQTPOCHFL-OWOJBTEDSA-N,化橘红
YHS-044,乳糖,D－Lactose,99633-12-2,550.557,C27H34O12,,糖苷类,CO[C@@H]1[C@@H](CO)OC(O)[C@H](O)[C@H]1O.O[C@H]2CO[C@H](CO)[C@H](O)[C@@H]2O,"InChI=1S/C7H14O6.C6H12O5/c1-12-6-3(2-8)13-7(11)5(10)4(6)9;7-1-4-6(10)5(9)3(8)2-11-4/h3-11H,2H2,1H3;3-10H,1-2H2/t3-,4-,5-,6-,7?;3-,4+,5+,6-/m10/s1",HWLGTMQDSAKCCG-DCDXKDNQSA-N,化橘红
YHS-045,四氢小檗碱,Canadine,5096-57-1,339.385,C20H21NO4,,生物碱类,COC1=C(OC)C2=C(C=C1)CC3C4=CC5=C(OCO5)C=C4CCN3C2,"InChI=1S/C20H21NO4/c1-22-17-4-3-12-7-16-14-9-19-18(24-11-25-19)8-13(14)5-6-21(16)10-15(12)20(17)23-2/h3-4,8-9,16H,5-7,10-11H2,1-2H3",VZTUIEROBZXUFA-UHFFFAOYSA-N,化橘红
