编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
ZSG—53,3-羟基-5-甲氧基-苯甲酸,3-Hydroxy-5-methoxybenzoic acid,19520-75-3,168.147 ,C8H8O4,,酚酸,O=C(O)C1=CC(OC)=CC(O)=C1,"InChI=1S/C8H8O4/c1-12-7-3-5(8(10)11)2-6(9)4-7/h2-4,9H,1H3,(H,10,11)",TUUBOHWZSQXCSW-UHFFFAOYSA-N,朱砂根
ZSG—54,正壬酸,Nonanoic acid,112-05-0,158.238 ,C9H18O2,,脂肪酸,CCCCCCCCC(O)=O,"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)",FBUKVWPVBMHYJY-UHFFFAOYSA-N,朱砂根
ZSG—55,豆甾醇-3-O-β-D-吡喃葡萄糖苷,Stigmasterol glucoside,19716-26-8,574.831 ,C35H58O6,,甾体皂苷,CC[C@@H](C(C)C)/C=C/[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](OC5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,"InChI=1S/C35H58O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h8-10,20-22,24-33,36-39H,7,11-19H2,1-6H3/b9-8+/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33?,34+,35-/m1/s1",VWDLOXMZIGUBKM-WGNOMOHASA-N,朱砂根
ZSG—56,无羁萜,friedelin,559-74-0,426.717 ,C30H50O,,三萜,O=C1CC[C@@]2([H])[C@]3(C)CC[C@@]4(C)[C@]5([H])CC(C)(C)CC[C@]5(C)CC[C@]4(C)[C@@]3([H])CC[C@]2(C)[C@H]1C,"InChI=1S/C30H50O/c1-20-21(31)9-10-22-27(20,5)12-11-23-28(22,6)16-18-30(8)24-19-25(2,3)13-14-26(24,4)15-17-29(23,30)7/h20,22-24H,9-19H2,1-8H3/t20-,22+,23-,24+,26+,27+,28-,29+,30-/m0/s1",OFMXGFHWLZPCFL-SVRPQWSVSA-N,朱砂根
ZSG—57,车叶草酸,Asperulosidic acid,25368-11-0,432.376 ,C18H24O12,,萜,O[C@@H]1[C@@H](O)[C@H](O[C@H]2[C@@](C(COC(C)=O)=C[C@@H]3O)([H])[C@@]3([H])C(C(O)=O)=CO2)O[C@H](CO)[C@H]1O,"InChI=1S/C18H24O12/c1-6(20)27-4-7-2-9(21)12-8(16(25)26)5-28-17(11(7)12)30-18-15(24)14(23)13(22)10(3-19)29-18/h2,5,9-15,17-19,21-24H,3-4H2,1H3,(H,25,26)/t9-,10+,11+,12-,13+,14-,15+,17-,18-/m0/s1",DGDWCRWJRNMRKX-DILZHRMZSA-N,朱砂根
ZSG—58,百两金皂苷B,Ardisiacrispin B,112766-96-8,1075.250 ,C53H86O22,,三萜,O=C[C@]1(C)C[C@@]2([H])C34CC[C@]5([H])[C@@]6(C)CC[C@H](O[C@@H]7OC[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O[C@@H]9O[C@@H](C)[C@H](O)[C@@H](O)[C@H]9O)[C@H](O)[C@H]7O[C@@H]%10OC(CO)[C@@H](O)[C@H](O)[C@H]%10O)C(C)(C)[C@]6([H])CC[C@@]5(C)[C@]3(C)C[C@@H](O)C(CO4)2CC1,"InChI=1S/C53H86O22/c1-23-32(58)36(62)39(65)43(69-23)75-42-38(64)34(60)25(19-55)71-46(42)72-26-20-67-45(41(35(26)61)74-44-40(66)37(63)33(59)24(18-54)70-44)73-31-10-11-49(5)27(47(31,2)3)8-12-50(6)28(49)9-13-53-29-16-48(4,21-56)14-15-52(29,22-68-53)30(57)17-51(50,53)7/h21,23-46,54-55,57-66H,8-20,22H2,1-7H3/t23-,24?,25+,26-,27-,28+,29+,30+,31-,32-,33+,34+,35-,36+,37-,38-,39+,40+,41+,42+,43-,44-,45-,46-,48-,49-,50+,51-,52?,53?/m0/s1",ZDIHSHLFPFGAGP-GRWMUYEGSA-N,朱砂根
ZSG—59,正丁基-α-D-呋喃果糖苷,n-Butyl-α-D-fructofuranoside,80971-59-1,236.260 ,C10H20O6,,糖苷,OC[C@]1([C@H]([C@@H]([C@@H](CO)O1)O)O)OCCCC,"InChI=1S/C10H20O6/c1-2-3-4-15-10(6-12)9(14)8(13)7(5-11)16-10/h7-9,11-14H,2-6H2,1H3/t7-,8-,9+,10+/m1/s1",XRGRZXPJJVQDJO-IMSYWVGJSA-N,朱砂根
ZSG—60,正丁基-α-D-呋喃果糖苷,n-Butyl-β-D-fructofuranoside,80971-60-4,236.262 ,C10H20O6,,糖苷,OC[C@@]1([C@H]([C@@H]([C@@H](CO)O1)O)O)OCCCC,"InChI=1S/C10H20O6/c1-2-3-4-15-10(6-12)9(14)8(13)7(5-11)16-10/h7-9,11-14H,2-6H2,1H3/t7-,8-,9+,10-/m1/s1",XRGRZXPJJVQDJO-DOLQZWNJSA-N,朱砂根
ZSG—61,5-羟甲基糠醛,5-hydroxymethylfurfural,67-47-0,126.112 ,C6H6O3,,其他,O=CC1=CC=C(CO)O1,"InChI=1S/C6H6O3/c7-3-5-1-2-6(4-8)9-5/h1-3,8H,4H2",NOEGNKMFWQHSLB-UHFFFAOYSA-N,朱砂根
ZSG—62,熊果酸,Ursolic Acid,77-52-1,456.709 ,C30H48O3,,三萜,O[C@H]1CC[C@]2(C)[C@@]3([H])CC=C4[C@]5([H])[C@@H](C)[C@H](C)CC[C@@](C(O)=O)5CC[C@](C)4[C@@](C)3CCC2C1(C)C,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21?,22-,23+,24+,27+,28-,29-,30+/m1/s1",WCGUUGGRBIKTOS-JJWDWEPMSA-N,朱砂根
,,,,,,,,,,,
